RERUN_SET,TIME,TRW,DVS,RDD,TMIN,TMAX,NFLV,LESTRS,LRSTRS,LDSTRS,PCEW,NSP,LAI,WAGT,WST,WLVG,WLVD,WSO,WRR14,WRT,ZRT,NSLLV,RNSTRS,NUPP,ANCR,ANLV,ANLD,ANST,ANSO,ANRT,NMAXL,NMINL,FNLV,ROOTN,ROOTC,SNH4,SNO3,WL0,ZW,IR,IRCUM2,RAINCUM2,RUNOFCUM2,EVSW,EVSWCUM2,TRWCUM2,GWTOT,CAPTOT,WLFLOUT,N2O,NH3,LEACHED,MINERALIZED,FERTILIZER,CO2RELEASED,SOC,SON,YEAR,DOY,CROPSTA,ETD,TRC,EVSC,RAIN,RAINCU
1,1.0,0.0,0.0,17969300.0,24.0,31.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0165,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.025,0.025,0.0,0.0,19.01,6.4898,10.0,0.0,0.0,0.0,0.0,0.0,10.843,0.0,0.0,0.0,0.0,0.0,0.0258918,0.0863005,0.0,0.22464,0.0,2.6958,39622.0,2153.3,2016.0,1.0,1.0,10.843,0.0,10.843,0.0,0.0
1,2.0,0.12502,0.0124959,16646200.0,25.0,31.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0191716,0.79855,0.31942,0.47913,0.0,0.0,0.0,0.79855,0.1,1.0,1.0,0.0945322,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0248376,0.025,0.0211615,0.79855,19.085,6.433,0.0,0.0,0.0,0.0,0.0,0.0,7.9754,10.843,0.0,0.0,0.0,1.8755,0.0262038,0.11967,0.0,0.33949,0.0,4.0746,39618.0,2153.0,2016.0,2.0,4.0,8.0523,0.12502,7.9754,0.0,0.0
1,3.0,0.12618,0.0252879,13600200.0,27.0,31.0,1.1778,0.56412,1.0,1.0,1.0,0.0,0.0223493,1.7176,0.68702,1.0305,0.0,0.0,0.0,1.6912,0.1,1.0,1.0,0.0877685,0.0945322,0.0546183,0.0,0.0162578,0.0,0.0236561,0.053,0.0246713,0.053,0.0448177,1.6912,19.202,6.4218,0.0,0.0,0.0,0.0,0.0,0.0,2.7159,18.818,0.12502,0.0,0.0,1.8755,0.00668132,0.14338,0.0,0.7263,0.0,8.7155,39609.0,2152.2,2016.0,3.0,4.0,6.9819,0.12618,6.9043,1.0,0.0
1,4.0,0.14072,0.0386646,15215700.0,25.0,30.0,1.1778,0.494,1.0,1.0,1.0,0.0,0.0245345,3.0325,1.213,1.8195,0.0,0.0,0.0,2.931,0.1,1.0,1.0,0.10452,0.1823,0.096433,0.0,0.0293567,0.0,0.056511,0.053,0.0244974,0.053,0.0776725,2.931,19.369,6.726,0.0,0.0,0.0,0.0,1.0,0.0,3.4452,21.534,0.25119,0.0,0.0,1.8755,0.0035651,0.15128,0.0,0.75953,0.0,9.1147,39600.0,2151.5,2016.0,4.0,4.0,7.1408,0.14072,7.0538,2.1,1.0
1,5.0,0.13474,0.0514566,15226500.0,26.0,31.0,1.1778,0.43735,1.0,1.0,1.0,0.0,0.0265434,4.6097,1.8439,2.7658,0.0,0.0,0.0,4.3726,0.1,1.0,1.0,0.11119,0.28682,0.14659,0.0,0.0455194,0.0,0.0947115,0.053,0.0243311,0.053,0.11587,4.3726,19.503,7.0854,0.0,0.0,0.0,0.0,3.1,0.0,3.8358,24.979,0.39191,0.0,0.0,1.8755,0.000884848,0.15276,0.0,0.80633,0.0,9.6753,39590.0,2150.7,2016.0,5.0,4.0,6.5288,0.13474,6.4427,2.8,3.1
1,6.0,0.17963,0.064541,15237800.0,26.0,31.0,1.1778,0.39214,0.89665,1.0,1.0,0.0,0.0285116,6.3005,2.5202,3.7803,0.0,0.0,0.0,5.8724,0.1,1.0,1.0,0.11282,0.39801,0.20036,0.0,0.0632007,0.0,0.13446,0.053,0.024161,0.053,0.15562,5.8724,19.612,7.5164,0.0,0.0,0.0,0.0,5.9,0.0,1.182,28.815,0.52665,0.0,0.0,1.8755,0.000647964,0.15638,0.0,0.80083,0.0,9.6103,39581.0,2149.9,2016.0,6.0,4.0,7.7488,0.17963,7.6391,0.1,5.9
1,7.0,0.24405,0.0776254,16705200.0,25.0,31.0,1.1778,0.34247,0.75267,1.0,1.0,0.0,0.0304071,8.0321,3.2128,4.8193,0.0,0.0,0.0,7.3623,0.1,1.0,1.0,0.11584,0.51083,0.25542,0.0,0.0814693,0.0,0.17394,0.053,0.0239909,0.053,0.1951,7.3623,19.668,7.9882,0.0,0.0,0.0,0.0,6.0,0.0,1.2036,29.997,0.70629,0.0,0.0,1.8755,0.000382336,0.15605,0.0,0.77964,0.0,9.3549,39571.0,2149.1,2016.0,7.0,4.0,9.5434,0.24405,9.3994,0.0,6.0
1,8.0,0.27119,0.0904174,15262000.0,26.0,31.0,1.1778,0.28393,0.58297,1.0,1.0,0.0,0.0321331,9.83,3.932,5.898,0.0,0.0,0.0,8.8625,0.1,1.0,1.0,0.10488,0.62667,0.31259,0.0,0.10039,0.0,0.21369,0.053,0.0238246,0.053,0.23486,8.8625,19.687,8.4882,0.0,0.0,30.0,0.0,6.0,0.0,9.7204,31.201,0.95033,0.0,0.0,1.8755,0.000131264,0.3376,0.0,0.76388,60.0,9.165,39562.0,2148.3,2016.0,8.0,4.0,9.8778,0.27119,9.7204,0.2,6.0
1,9.0,0.29675,0.1035,15274900.0,26.0,31.0,1.1778,0.71915,1.0,1.0,1.0,0.0,0.03368,11.467,4.5868,6.8802,0.0,0.0,0.0,10.188,0.1,1.0,1.0,0.13865,0.73155,0.36465,0.0,0.11808,0.0,0.24882,0.053,0.0236545,0.053,0.26998,10.188,32.925,9.5412,0.0,0.0,30.0,30.0,6.2,0.0,10.143,40.921,1.2215,0.0,0.0,1.8755,0.00489482,0.51309,0.0,0.90989,0.0,10.919,39551.0,2147.4,2016.0,9.0,4.0,10.315,0.29675,10.143,0.0,6.2
1,10.0,0.29305,0.11659,16747400.0,25.0,31.0,1.1778,1.0,1.0,1.0,1.0,0.0,0.0377863,13.68,5.472,8.2079,0.0,0.0,0.0,11.925,0.1,1.0,1.0,0.16397,0.8702,0.43502,0.0,0.14032,0.0,0.29486,0.053,0.0234844,0.053,0.31603,11.925,43.856,11.517,8.6137,0.0,30.0,60.0,6.2,0.0,9.3995,51.064,1.5183,0.0,0.0,3.0,0.0443303,0.56132,0.0,0.30954,0.0,3.7152,39548.0,2147.1,2016.0,10.0,4.0,9.5788,0.29305,9.3995,0.0,6.2
1,11.0,0.19264,0.12938,15302100.0,25.0,30.0,1.1778,1.0,1.0,1.0,1.0,0.0,0.0440494,16.315,6.5259,9.7888,0.0,0.0,0.0,13.931,0.1,1.0,1.0,0.18626,1.0342,0.51881,0.0,0.16735,0.0,0.34802,0.053,0.0233181,0.053,0.36918,13.931,49.815,11.457,25.921,0.0,0.0,90.0,6.2,0.0,5.929,60.464,1.8113,0.0,0.0,3.0,0.0381034,0.59554,0.0,0.30499,0.0,3.6601,39544.0,2146.8,2016.0,11.0,4.0,6.061,0.19264,5.929,0.0,6.2
1,12.0,0.35644,0.14217,15316300.0,26.0,31.0,1.1778,1.0,1.0,1.0,1.0,0.0,0.0513506,19.333,7.7334,11.6,0.0,0.0,0.0,16.16,0.1,1.0,1.0,0.21325,1.2204,0.6148,0.0,0.19854,0.0,0.40709,0.053,0.0231518,0.053,0.42825,16.16,54.426,11.405,16.8,0.0,30.0,90.0,6.2,0.0,8.4294,66.393,2.004,0.0,0.0,3.0,0.036665,0.64351,0.0,0.30796,0.0,3.6955,39540.0,2146.5,2016.0,12.0,4.0,8.6486,0.35644,8.4294,0.0,6.2
