RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        7102.0       12396.       169.10       650.00      0.14082E+06   6619.1       8.8000       98.000    
     2        5382.1       9336.7       468.70       500.00      0.13961E+06   6505.0       2.1600       95.000    
     3        5008.8       9166.4       117.89       550.00      0.13831E+06   6388.0       10.450       100.00    
     4        5428.0       9877.0       277.00       600.00      0.13716E+06   6274.3       6.7700       95.000    
     5        5040.6       8916.0       403.10       600.00      0.13580E+06   6152.7       1.2400       99.000    
     6        5418.6       9854.6       405.90       450.00      0.13450E+06   6033.0       1.1400       95.000    
     7        4303.7       8227.8       188.79       600.00      0.13333E+06   5926.8      0.49000       98.000    
     8        5637.2       9696.4       382.70       400.00      0.13201E+06   5806.8       3.7200       96.000    
     9        4410.7       7542.4       413.29       500.00      0.13091E+06   5707.5       1.6400       98.000    
    10        4353.5       7799.9       795.00       300.00      0.13004E+06   5615.9       16.360       95.000    
    11        2759.2       6394.4       202.60       550.00      0.12919E+06   5536.3       2.0500       81.000    
    12        4389.6       8047.0       365.99       450.00      0.12831E+06   5444.8       17.970       95.000    
    13        3819.5       5601.1       439.90       450.00      0.12733E+06   5358.7       1.7700       98.000    
    14        4029.4       7650.1       707.99       400.00      0.12653E+06   5271.1       8.7200       95.000    
    15        3810.5       6819.5       184.30       600.00      0.12563E+06   5189.1       26.100       98.000    
    16        4123.2       8098.9       463.40       500.00      0.12474E+06   5100.4       9.1600       96.000    
    17        4165.0       7485.8       84.700       600.00      0.12372E+06   5008.9      0.48000       99.000    
    18        4306.3       7561.9       578.40       400.00      0.12289E+06   4925.4       1.0200       95.000    
    19        3572.6       6232.9       235.60       550.00      0.12204E+06   4848.5       24.100       99.000    
    20        3916.2       7063.0       586.50       400.00      0.12126E+06   4769.9       1.8500       95.000    
    21        3219.2       6385.8       188.90       650.00      0.12044E+06   4695.7       17.690       98.000    
    22        2054.1       5290.7       525.60       400.00      0.11976E+06   4623.3       2.2100       97.000    
    23        3721.4       6459.6       122.70       550.00      0.11899E+06   4555.0       15.910       98.000    
    24        2889.6       5745.4       611.19       400.00      0.11840E+06   4493.8       9.7100       94.000    
    25        3184.1       5550.9       328.50       500.00      0.11769E+06   4430.3       12.900       97.000    
    26        3307.9       6080.3       504.30       400.00      0.11695E+06   4359.1       4.2200       96.000    
    27        3074.7       5208.5       151.29       650.00      0.11629E+06   4298.6       3.3800       98.000    
    28        2918.1       5681.0       585.60       350.00      0.11572E+06   4236.7       3.4300       95.000    
    29        1648.0       4870.3       351.30       450.00      0.11504E+06   4175.8       15.670       97.000    
    30        3127.4       5776.2       404.70       450.00      0.11444E+06   4115.2       1.3400       95.000    
    31        2759.6       5148.6       83.700       550.00      0.11374E+06   4051.4      0.45000       100.00    
    32        2762.5       5180.6       578.80       350.00      0.11313E+06   3994.1       1.6700       96.000    
    33        2726.8       4981.0       111.00       600.00      0.11250E+06   3936.3       4.8000       98.000    
    34        3128.4       5914.2       220.80       600.00      0.11182E+06   3872.0      0.33000       96.000    
    35        2549.6       5031.7       120.50       600.00      0.11122E+06   3815.6      0.86000       101.00    
    36        2352.4       4404.7       703.40       350.00      0.11081E+06   3767.9       8.7200       96.000    
    37        1909.9       3889.8       386.80       400.00      0.11031E+06   3720.4       33.420       98.000    
    38        2255.0       4661.3       840.90       400.00      0.10991E+06   3672.6      0.36000       95.000    
