*     Water balance PADDY used
*     Crop and soil nitrogen balance used
*     ****************************************************************
*     WARNING: Combined water and nitrogen limitations not validated!!
*     ****************************************************************
*     ORYZA model runs to simulate an experiment
*     Rice crop is direct-seeded
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* ORYYZA_v35 driver info:
*     Year: 2030, day: 291, System start
*     Year: 2031, day:  33, System end
*----------------------------------------------------------------------------
* OUTPUT FROM RERUN SET:    1
* OUTPUT TABLE FORMAT  : SPREADSHEET OUTPUT
* Simulation results
* Irrigation at minimum water depth; SWITIR=2
* Irrigation at min. moist. pressure; SWITIR=3
* Rainfed; no irrigation; SWITIR=0
* PADDY: Puddled soil (SWITPD=1)
* PADDY: Groundwater below profile (SWITGW=0)
* PADDY: Fixed percolation (SWITVP=-1)
 
TIME	DVS	TMIN	TMAX	LAI	IR	WL0	CO2C	CH4C	N2ON	NH3	SOC	SON	DOY	CROPSTA	RAIN
 
   291.000    	  0.0000    	  27.200    	  34.900    	  0.0000    	  0.0000    	  10.000    	  8.1239    	  0.0000    	 2.05382E-02	 0.17725    	 1.42172E+05	  6740.4    	  291.00    	  0.0000    	  0.0000    
   292.000    	  0.0000    	  26.200    	  33.400    	  0.0000    	  0.0000    	  0.0000    	  6.5835    	  0.0000    	 2.03673E-02	 0.17922    	 1.42164E+05	  6739.7    	  292.00    	  0.0000    	  0.0000    
   293.000    	  0.0000    	  26.900    	  30.500    	  0.0000    	  0.0000    	  0.0000    	  15.890    	  0.0000    	 1.08004E-02	 0.19292    	 1.42156E+05	  6739.1    	  293.00    	  0.0000    	  0.0000    
   294.000    	  0.0000    	  26.300    	  30.300    	  0.0000    	  0.0000    	  0.0000    	  14.906    	  0.0000    	 1.10333E-02	 0.19964    	 1.42140E+05	  6737.7    	  294.00    	  0.0000    	  0.0000    
   295.000    	  0.0000    	  26.200    	  34.200    	  0.0000    	  0.0000    	  0.0000    	  14.283    	  0.0000    	 1.10698E-02	 0.19916    	 1.42124E+05	  6736.4    	  295.00    	  0.0000    	  0.0000    
   296.000    	  0.0000    	  28.500    	  34.700    	  0.0000    	  0.0000    	  0.0000    	  14.173    	  0.0000    	 1.14266E-02	 0.21804    	 1.42109E+05	  6735.1    	  296.00    	  0.0000    	  0.0000    
   297.000    	  0.0000    	  26.900    	  33.600    	  0.0000    	  0.0000    	  0.0000    	  14.007    	  0.0000    	 1.20365E-02	 0.25064    	 1.42094E+05	  6733.9    	  297.00    	  0.0000    	  23.500    
   298.000    	  0.0000    	  27.100    	  35.300    	  0.0000    	  0.0000    	 0.48124    	  9.4215    	  0.0000    	 3.87671E-02	 0.29645    	 1.42079E+05	  6732.6    	  298.00    	  0.0000    	 0.50000    
   299.000    	  0.0000    	  26.900    	  33.800    	  0.0000    	  0.0000    	  0.0000    	  16.254    	  0.0000    	 2.28818E-02	 0.30333    	 1.42068E+05	  6731.7    	  299.00    	  0.0000    	  6.8000    
   300.000    	  0.0000    	  26.600    	  34.200    	 1.32000E-02	  50.000    	  10.000    	  8.6503    	 0.32910    	 4.65024E-02	 0.33078    	 1.42051E+05	  6730.3    	  300.00    	  1.0000    	  80.100    
   301.000    	 1.41515E-02	  28.000    	  31.400    	 1.51408E-02	  0.0000    	  85.000    	  7.6574    	 8.00000E-04	 4.58643E-02	 0.32628    	 1.42041E+05	  6729.4    	  301.00    	  4.0000    	  3.1000    
   302.000    	 2.99867E-02	  28.900    	  32.300    	 1.76318E-02	  0.0000    	  81.122    	  8.0399    	 6.70000E-03	 4.46202E-02	 0.28690    	 1.42031E+05	  6728.6    	  302.00    	  4.0000    	  13.600    
   303.000    	 4.54767E-02	  27.600    	  35.300    	 2.04693E-02	  0.0000    	  85.000    	  8.0902    	 0.27000    	 4.41755E-02	 0.28193    	 1.42021E+05	  6727.8    	  303.00    	  4.0000    	  10.600    
   304.000    	 5.90789E-02	  28.200    	  34.900    	 2.33621E-02	  0.0000    	  80.524    	  8.1732    	 0.33930    	 4.47483E-02	 0.29522    	 1.42012E+05	  6727.0    	  304.00    	  4.0000    	 0.30000    
   305.000    	 7.29435E-02	  28.500    	  33.600    	 2.67273E-02	  0.0000    	  69.012    	  8.2027    	 0.40440    	 4.52087E-02	 0.31593    	 1.42002E+05	  6726.2    	  305.00    	  4.0000    	  6.9000    
   306.000    	 8.76196E-02	  27.400    	  34.500    	 3.08027E-02	  0.0000    	  67.171    	  8.1696    	 0.41910    	 4.45628E-02	 0.31921    	 1.41992E+05	  6725.4    	  306.00    	  4.0000    	  1.7000    
   307.000    	 0.10171    	  25.400    	  32.100    	 3.53125E-02	  0.0000    	  57.258    	  8.1543    	 0.42010    	 4.39313E-02	 0.31811    	 1.41982E+05	  6724.5    	  307.00    	  4.0000    	  1.8000    
   308.000    	 0.11656    	  25.100    	  30.100    	 4.07588E-02	  0.0000    	  46.219    	  8.0416    	 0.39000    	 4.19874E-02	 0.29936    	 1.41972E+05	  6723.7    	  308.00    	  4.0000    	  3.1000    
   309.000    	 0.13164    	  25.500    	  30.900    	 4.71448E-02	  0.0000    	  42.417    	  8.1320    	 7.81000E-02	 3.98110E-02	 0.27153    	 1.41963E+05	  6722.9    	  309.00    	  4.0000    	 0.30000    
   310.000    	 0.14684    	  24.300    	  30.900    	 5.45937E-02	  0.0000    	  36.226    	  8.0299    	 5.39000E-02	 3.85590E-02	 0.25254    	 1.41953E+05	  6722.2    	  310.00    	  4.0000    	  5.9000    
   311.000    	 0.16163    	  25.600    	  31.500    	 6.29791E-02	  0.0000    	  32.534    	  7.9719    	 6.31000E-02	 3.78525E-02	 0.24490    	 1.41945E+05	  6721.4    	  311.00    	  4.0000    	  3.4000    
   312.000    	 0.17674    	  24.800    	  33.200    	 7.28672E-02	  0.0000    	  26.507    	  7.9972    	 9.39000E-02	 3.78920E-02	 0.25033    	 1.41936E+05	  6720.7    	  312.00    	  4.0000    	  0.0000    
   313.000    	 0.19101    	  26.400    	  32.700    	 8.36704E-02	  0.0000    	  9.4638    	  8.3215    	 0.13650    	 3.80817E-02	 0.26198    	 1.41927E+05	  6719.9    	  313.00    	  4.0000    	  0.0000    
   314.000    	 0.20588    	  23.200    	  33.200    	 9.65956E-02	  0.0000    	  0.0000    	  11.221    	 0.32870    	 3.21004E-02	 0.27782    	 1.41918E+05	  6719.2    	  314.00    	  4.0000    	  0.0000    
   315.000    	 0.21969    	  24.400    	  29.500    	 0.11045    	  0.0000    	  0.0000    	  14.132    	 0.80610    	 1.64225E-02	 0.23656    	 1.41905E+05	  6718.1    	  315.00    	  4.0000    	  0.0000    
   316.000    	 0.23428    	  25.700    	  29.000    	 0.12298    	  0.0000    	  0.0000    	  12.818    	 0.23760    	 1.82125E-02	 0.21080    	 1.41891E+05	  6716.9    	  316.00    	  4.0000    	  0.0000    
   317.000    	 0.24918    	  27.400    	  34.000    	 0.13701    	  0.0000    	  0.0000    	  12.474    	 0.21630    	 2.05183E-02	 0.18793    	 1.41878E+05	  6715.8    	  317.00    	  4.0000    	  0.0000    
   318.000    	 0.26355    	  26.600    	  36.300    	 0.15235    	  0.0000    	  0.0000    	  12.721    	 0.36100    	 2.19159E-02	 0.18911    	 1.41865E+05	  6714.8    	  318.00    	  4.0000    	 0.10000    
   319.000    	 0.27651    	  28.000    	  33.300    	 0.16820    	  0.0000    	  0.0000    	  12.916    	 0.45150    	 2.46067E-02	 0.20086    	 1.41852E+05	  6713.7    	  319.00    	  4.0000    	  0.0000    
   320.000    	 0.29135    	  25.500    	  31.700    	 0.18850    	  0.0000    	  0.0000    	  12.738    	 0.50720    	 2.63130E-02	 0.19782    	 1.41838E+05	  6712.5    	  320.00    	  4.0000    	  0.0000    
   321.000    	 0.30637    	  25.800    	  33.800    	 0.21178    	  0.0000    	  0.0000    	  12.271    	 0.46430    	 2.61781E-02	 0.17219    	 1.41824E+05	  6711.4    	  321.00    	  4.0000    	  0.0000    
   322.000    	 0.32059    	  26.100    	  35.300    	 0.23681    	  0.0000    	  0.0000    	  12.506    	 0.49700    	 2.54950E-02	 0.15552    	 1.41811E+05	  6710.3    	  322.00    	  4.0000    	  0.0000    
   323.000    	 0.33407    	  26.800    	  32.300    	 0.26323    	  0.0000    	  0.0000    	  13.625    	 0.23710    	 2.29641E-02	 0.14585    	 1.41798E+05	  6709.2    	  323.00    	  4.0000    	  0.0000    
   324.000    	 0.34921    	  25.300    	  31.700    	 0.29612    	  0.0000    	  0.0000    	  13.496    	 0.23360    	 2.19545E-02	 0.13179    	 1.41784E+05	  6708.0    	  324.00    	  4.0000    	  0.0000    
   325.000    	 0.36416    	  25.300    	  32.200    	 0.33223    	  0.0000    	  0.0000    	  13.547    	 0.22800    	 1.94277E-02	 0.11102    	 1.41770E+05	  6706.8    	  325.00    	  4.0000    	 0.30000    
   326.000    	 0.37894    	  27.000    	  30.000    	 0.37172    	  0.0000    	  0.0000    	  13.842    	 0.22690    	 1.70819E-02	 9.73168E-02	 1.41756E+05	  6705.7    	  326.00    	  4.0000    	  0.0000    
   327.000    	 0.39473    	  25.700    	  32.800    	 0.41830    	  0.0000    	  0.0000    	  13.948    	 0.22340    	 1.51260E-02	 8.61400E-02	 1.41742E+05	  6704.5    	  327.00    	  4.0000    	  0.0000    
   328.000    	 0.40939    	  24.700    	  34.000    	 0.46661    	  0.0000    	  0.0000    	  14.919    	 1.20000E-03	 1.13398E-02	 7.55401E-02	 1.41728E+05	  6703.3    	  328.00    	  4.0000    	  0.0000    
   329.000    	 0.42157    	  25.800    	  34.100    	 0.51696    	  0.0000    	  0.0000    	  15.326    	 1.30000E-03	 6.74417E-03	 6.71532E-02	 1.41713E+05	  6702.1    	  329.00    	  4.0000    	  0.0000    
   330.000    	 0.43394    	  27.600    	  34.500    	 0.57182    	  50.000    	  0.0000    	  15.704    	 1.20000E-03	 4.01410E-03	 6.08274E-02	 1.41698E+05	  6700.8    	  330.00    	  4.0000    	  4.2000    
   331.000    	 0.44632    	  26.200    	  35.500    	 0.62890    	  0.0000    	  0.0000    	  11.112    	 1.00000E-03	 7.61304E-02	 9.65137E-02	 1.41682E+05	  6699.6    	  331.00    	  4.0000    	  0.0000    
   332.000    	 0.45806    	  25.100    	  34.400    	 0.71211    	  0.0000    	  0.0000    	  13.665    	 2.10000E-03	 5.17185E-02	 9.71285E-02	 1.41672E+05	  6698.7    	  332.00    	  4.0000    	  0.0000    
   333.000    	 0.47017    	  26.100    	  31.900    	 0.80919    	  0.0000    	  0.0000    	  17.538    	 2.40000E-03	 4.06593E-02	 9.06572E-02	 1.41656E+05	  6697.3    	  333.00    	  4.0000    	  0.0000    
   334.000    	 0.48344    	  24.400    	  27.600    	 0.93002    	  0.0000    	  0.0000    	  20.143    	 2.90000E-03	 2.78921E-02	 8.01034E-02	 1.41637E+05	  6695.8    	  334.00    	  4.0000    	  0.0000    
   335.000    	 0.49561    	  23.600    	  29.800    	  1.0531    	  0.0000    	  0.0000    	  21.643    	 2.80000E-03	 2.12507E-02	 6.42640E-02	 1.41616E+05	  6694.1    	  335.00    	  4.0000    	  0.0000    
   336.000    	 0.50825    	  22.100    	  30.700    	  1.3304    	  0.0000    	  0.0000    	  24.272    	 2.70000E-03	 6.32646E-03	 5.27295E-02	 1.41595E+05	  6692.3    	  336.00    	  4.0000    	  0.0000    
   337.000    	 0.52053    	  22.600    	  28.300    	  1.5695    	  50.000    	  0.0000    	  25.641    	 2.40000E-03	 8.46869E-04	 4.46398E-02	 1.41572E+05	  6690.3    	  337.00    	  4.0000    	  0.0000    
   338.000    	 0.53232    	  23.300    	  28.300    	  1.8255    	  0.0000    	 0.72662    	  9.3504    	 2.30000E-03	 5.49032E-02	 5.38778E-02	 1.41547E+05	  6688.2    	  338.00    	  4.0000    	  0.0000    
   339.000    	 0.54436    	  21.200    	  28.800    	  2.1178    	  0.0000    	  0.0000    	  10.502    	 3.80000E-03	 4.14867E-02	 4.82171E-02	 1.41538E+05	  6687.5    	  339.00    	  4.0000    	  0.0000    
