RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          DAE        
     1        7773.5       14294.       894.80       700.00      0.14041E+06   6593.1       96.000    
     2        6770.9       12195.       686.39       950.00      0.13895E+06   6434.5       97.000    
     3        7092.3       13258.       1671.1       250.00      0.13727E+06   6330.8       97.000    
     4        6343.6       11594.       1357.5       400.00      0.13569E+06   6198.2       94.000    
     5        7292.2       14485.       743.99       550.00      0.13432E+06   6083.3       100.00    
     6        6146.3       12463.       684.59       650.00      0.13271E+06   5948.1       96.000    
     7        7244.2       13475.       504.20       750.00      0.13128E+06   5828.4       96.000    
     8        6489.2       11794.       680.60       800.00      0.12964E+06   5690.6       96.000    
     9        7513.6       14952.       261.30       800.00      0.12817E+06   5567.6       101.00    
    10        6640.8       12439.       557.79       800.00      0.12666E+06   5440.9       96.000    
