*     Water balance PADDY used
*     Crop and soil nitrogen balance used
*     ****************************************************************
*     WARNING: Combined water and nitrogen limitations not validated!!
*     ****************************************************************
*     ORYZA model runs to simulate an experiment
*     Rice crop is direct-seeded
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* ORYYZA200 driver info:
*     Year: 2015, day: 300, System start
*     Year: 2016, day:  31, System end
*----------------------------------------------------------------------------
* OUTPUT FROM RERUN SET:    1
* OUTPUT TABLE FORMAT  : SPREADSHEET OUTPUT
* Simulation results
* Irrigation at minimum water depth; SWITIR=2
* Irrigation at min. moist. pressure; SWITIR=3
* Rainfed; no irrigation; SWITIR=0
* PADDY: Puddled soil (SWITPD=1)
* PADDY: Groundwater below profile (SWITGW=0)
* PADDY: Fixed percolation (SWITVP=-1)
 
TIME	DVS	TMIN	TMAX	LAI	WL0	IR	N2O	NH3	LEACHED	CO2RELEASED	SOC	SON	DOY	CROPSTA	RAIN
 
   300.000    	  0.0000    	  27.000    	  31.000    	 1.65000E-02	  10.000    	  50.000    	 0.26010    	  1.1269    	  0.0000    	  10.911    	 1.42162E+05	  6739.5    	  300.00    	  1.0000    	  4.7000    
   301.000    	 1.33767E-02	  27.000    	  32.000    	 1.91916E-02	  49.211    	  0.0000    	 0.24747    	  1.0990    	  0.0000    	  10.595    	 1.42151E+05	  6738.6    	  301.00    	  4.0000    	  15.500    
   302.000    	 2.64360E-02	  27.000    	  32.000    	 2.22481E-02	  48.822    	  0.0000    	 0.21561    	 0.87507    	  0.0000    	  9.8056    	 1.42141E+05	  6737.8    	  302.00    	  4.0000    	  0.0000    
   303.000    	 3.94953E-02	  27.000    	  32.000    	 2.57913E-02	  33.022    	  0.0000    	 0.20175    	 0.81064    	  0.0000    	  10.084    	 1.42131E+05	  6736.9    	  303.00    	  4.0000    	  0.0000    
   304.000    	 5.25546E-02	  27.000    	  32.000    	 2.98989E-02	  18.645    	  50.000    	 0.19027    	 0.84491    	  0.0000    	  10.577    	 1.42120E+05	  6736.1    	  304.00    	  4.0000    	  4.6000    
   305.000    	 6.56140E-02	  28.000    	  31.000    	 3.46606E-02	  56.863    	  0.0000    	 0.17598    	 0.86338    	  0.0000    	  10.799    	 1.42110E+05	  6735.2    	  305.00    	  4.0000    	  58.000    
   306.000    	 7.92442E-02	  27.000    	  31.000    	 4.04219E-02	  85.000    	  0.0000    	 0.15973    	 0.83524    	  0.0000    	  10.736    	 1.42099E+05	  6734.3    	  306.00    	  4.0000    	  15.000    
   307.000    	 9.26209E-02	  28.000    	  32.000    	 4.70160E-02	  85.000    	  0.0000    	 0.14739    	  1.3310    	  0.0000    	  10.938    	 1.42088E+05	  6733.4    	  307.00    	  4.0000    	  4.8000    
   308.000    	 0.10588    	  27.000    	  31.000    	 5.46162E-02	  75.302    	  0.0000    	 0.13461    	  1.4911    	  0.0000    	  10.917    	 1.42077E+05	  6732.5    	  308.00    	  4.0000    	  47.100    
   309.000    	 0.11925    	  27.000    	  31.000    	 6.35258E-02	  85.000    	  0.0000    	 0.12271    	  1.4877    	  0.0000    	  10.853    	 1.42066E+05	  6731.5    	  309.00    	  4.0000    	  21.600    
   310.000    	 0.13263    	  27.000    	  30.000    	 7.38888E-02	  85.000    	  0.0000    	 0.11184    	  1.4371    	  0.0000    	  10.761    	 1.42055E+05	  6730.7    	  310.00    	  4.0000    	  105.00    
   311.000    	 0.14608    	  27.000    	  31.000    	 8.60065E-02	  85.000    	  0.0000    	 0.10255    	  1.3820    	  0.0000    	  10.795    	 1.42045E+05	  6729.8    	  311.00    	  4.0000    	  53.300    
   312.000    	 0.15945    	  27.000    	  31.000    	 0.10004    	  85.000    	  0.0000    	 9.46371E-02	  1.3588    	 2.45748E-03	  10.902    	 1.42034E+05	  6728.8    	  312.00    	  4.0000    	  24.700    
   313.000    	 0.17283    	  27.000    	  31.000    	 0.11636    	  85.000    	  0.0000    	 8.70918E-02	  1.3222    	 5.21194E-03	  10.964    	 1.42023E+05	  6727.9    	  313.00    	  4.0000    	  5.7000    
   314.000    	 0.18621    	  27.000    	  32.000    	 0.13534    	  75.860    	  0.0000    	 8.04952E-02	  1.2994    	 8.15750E-03	  11.130    	 1.42012E+05	  6727.0    	  314.00    	  4.0000    	  0.0000    
   315.000    	 0.19927    	  28.000    	  32.000    	 0.15689    	  60.395    	  0.0000    	 7.49490E-02	  1.3115    	 1.12790E-02	  11.401    	 1.42000E+05	  6726.1    	  315.00    	  4.0000    	 0.30000    
   316.000    	 0.21252    	  27.000    	  31.000    	 0.18225    	  44.981    	  0.0000    	 6.74300E-02	  1.2190    	 1.45608E-02	  10.891    	 1.41989E+05	  6725.1    	  316.00    	  4.0000    	  22.200    
   317.000    	 0.22590    	  27.000    	  31.000    	 0.21198    	  51.805    	  0.0000    	 5.90775E-02	  1.0220    	 1.79874E-02	  9.9095    	 1.41979E+05	  6724.3    	  317.00    	  4.0000    	  72.200    
   318.000    	 0.23928    	  27.000    	  31.000    	 0.24656    	  85.000    	  0.0000    	 5.47153E-02	 0.95699    	 2.15436E-02	  10.444    	 1.41969E+05	  6723.4    	  318.00    	  4.0000    	  32.900    
   319.000    	 0.25265    	  27.000    	  32.000    	 0.28679    	  85.000    	  0.0000    	 5.18694E-02	  1.0108    	 2.52139E-02	  11.042    	 1.41958E+05	  6722.5    	  319.00    	  4.0000    	  21.800    
   320.000    	 0.26571    	  27.000    	  32.000    	 0.33246    	  85.000    	  0.0000    	 4.84183E-02	  1.0281    	 2.89834E-02	  11.311    	 1.41947E+05	  6721.6    	  320.00    	  4.0000    	  0.0000    
   321.000    	 0.27877    	  27.000    	  32.000    	 0.38541    	  70.710    	  0.0000    	 4.48010E-02	  1.0187    	 3.28373E-02	  11.443    	 1.41935E+05	  6720.6    	  321.00    	  4.0000    	  2.1000    
   322.000    	 0.29183    	  27.000    	  31.000    	 0.44679    	  58.253    	  0.0000    	 4.11701E-02	 0.99153    	 3.67609E-02	  11.441    	 1.41924E+05	  6719.7    	  322.00    	  4.0000    	  33.200    
   323.000    	 0.30521    	  27.000    	  32.000    	 0.51967    	  76.535    	  0.0000    	 3.76801E-02	 0.94675    	 4.07398E-02	  11.510    	 1.41912E+05	  6718.7    	  323.00    	  4.0000    	  0.0000    
   324.000    	 0.31827    	  27.000    	  32.000    	 0.60244    	  56.122    	  0.0000    	 3.05394E-02	 0.91272    	 4.47596E-02	  11.622    	 1.41901E+05	  6717.8    	  324.00    	  4.0000    	  0.0000    
   325.000    	 0.33133    	  27.000    	  32.000    	 0.69838    	  37.679    	  0.0000    	 2.75864E-02	  1.5815    	 4.88059E-02	  11.439    	 1.41889E+05	  6716.8    	  325.00    	  4.0000    	  4.4000    
   326.000    	 0.34439    	  27.000    	  31.000    	 0.80960    	  24.916    	  0.0000    	 2.53707E-02	  1.7320    	 5.28646E-02	  11.393    	 1.41878E+05	  6715.8    	  326.00    	  4.0000    	  29.600    
   327.000    	 0.35776    	  27.000    	  32.000    	 0.94167    	  36.130    	  0.0000    	 2.34062E-02	  1.6940    	 5.69213E-02	  11.329    	 1.41866E+05	  6714.9    	  327.00    	  4.0000    	  0.0000    
   328.000    	 0.37082    	  27.000    	  31.000    	  1.0916    	  15.845    	  0.0000    	 2.16095E-02	  1.6164    	 6.09621E-02	  11.432    	 1.41855E+05	  6714.0    	  328.00    	  4.0000    	  24.100    
   329.000    	 0.38420    	  27.000    	  31.000    	  1.2289    	  25.869    	  0.0000    	 1.99090E-02	  1.4946    	 6.49729E-02	  11.422    	 1.41844E+05	  6713.0    	  329.00    	  4.0000    	  9.3000    
   330.000    	 0.39757    	  27.000    	  31.000    	  1.3903    	  18.484    	  0.0000    	 1.82342E-02	  1.3548    	 6.89401E-02	  11.457    	 1.41832E+05	  6712.0    	  330.00    	  4.0000    	  38.700    
   331.000    	 0.41095    	  26.000    	  31.000    	  1.5727    	  39.278    	  0.0000    	 1.65090E-02	  1.1708    	 7.28502E-02	  11.139    	 1.41821E+05	  6711.1    	  331.00    	  4.0000    	  0.0000    
   332.000    	 0.42606    	  27.000    	  31.000    	  1.7922    	  18.744    	  0.0000    	 1.50659E-02	  1.0283    	 7.66904E-02	  11.254    	 1.41810E+05	  6710.2    	  332.00    	  4.0000    	  4.2000    
   333.000    	 0.44151    	  27.000    	  32.000    	  2.0154    	  0.0000    	  0.0000    	 1.14408E-02	 0.92882    	 2.75654E-02	  11.559    	 1.41798E+05	  6709.2    	  333.00    	  4.0000    	 0.90000    
   334.000    	 0.45659    	  27.000    	  32.000    	  2.2734    	  0.0000    	  0.0000    	 7.86266E-03	 0.71258    	  3.7294    	  26.932    	 1.41771E+05	  6707.0    	  334.00    	  4.0000    	  6.0000    
   335.000    	 0.47167    	  28.000    	  32.000    	  2.5500    	  0.0000    	  0.0000    	 4.37643E-03	 0.60127    	  0.0000    	  34.773    	 1.41736E+05	  6704.1    	  335.00    	  4.0000    	 0.80000    
   336.000    	 0.48698    	  27.000    	  32.000    	  2.7566    	  0.0000    	  50.000    	 1.25988E-03	 0.51719    	  0.0000    	  35.062    	 1.41701E+05	  6701.2    	  336.00    	  4.0000    	  1.7000    
   337.000    	 0.50206    	  28.000    	  32.000    	  3.0261    	  1.1763    	  0.0000    	 3.72664E-02	 0.52450    	  0.0000    	  14.721    	 1.41687E+05	  6699.9    	  337.00    	  4.0000    	  2.0000    
   338.000    	 0.51737    	  28.000    	  32.000    	  3.3312    	  0.0000    	  0.0000    	 7.97024E-03	 0.38682    	  0.0000    	  26.795    	 1.41660E+05	  6697.7    	  338.00    	  4.0000    	  3.0000    
   339.000    	 0.53268    	  27.000    	  31.000    	  3.5721    	  0.0000    	  0.0000    	 2.61346E-03	 0.31187    	  0.0000    	  35.218    	 1.41625E+05	  6694.8    	  339.00    	  4.0000    	  12.200    
   340.000    	 0.54813    	  27.000    	  31.000    	  3.8711    	  0.0000    	  0.0000    	 6.72808E-03	 0.24051    	  0.0000    	  27.841    	 1.41597E+05	  6692.4    	  340.00    	  4.0000    	  29.200    
   341.000    	 0.56358    	  27.000    	  31.000    	  4.1933    	  0.0000    	  0.0000    	 1.04221E-02	 0.19597    	  0.0000    	  16.340    	 1.41581E+05	  6691.1    	  341.00    	  4.0000    	  12.200    
   342.000    	 0.57903    	  26.000    	  32.000    	  4.5106    	  0.0000    	  0.0000    	 1.85690E-04	 0.17621    	  0.0000    	  16.496    	 1.41564E+05	  6689.7    	  342.00    	  4.0000    	  9.7000    
   343.000    	 0.59384    	  27.000    	  31.000    	  4.8732    	  0.0000    	  0.0000    	  0.0000    	 0.14669    	  0.0000    	  19.224    	 1.41545E+05	  6688.1    	  343.00    	  4.0000    	  42.000    
   344.000    	 0.60929    	  27.000    	  31.000    	  5.1951    	  11.712    	  50.000    	  0.0000    	 0.12970    	  0.0000    	  14.651    	 1.41530E+05	  6686.9    	  344.00    	  4.0000    	  21.600    
   345.000    	 0.62474    	  27.000    	  31.000    	  5.5079    	  69.283    	  0.0000    	  0.0000    	 0.12915    	 0.25322    	  14.647    	 1.41516E+05	  6685.7    	  345.00    	  4.0000    	  27.600    
   346.000    	 0.64019    	  27.000    	  31.000    	  5.8085    	  82.475    	  0.0000    	  0.0000    	 0.12712    	 0.29282    	  14.640    	 1.41501E+05	  6684.4    	  346.00    	  4.0000    	  13.700    
   347.000    	 0.65564    	  26.000    	  32.000    	  6.0829    	  79.443    	  0.0000    	  0.0000    	 0.12439    	 0.32960    	  14.506    	 1.41486E+05	  6683.2    	  347.00    	  4.0000    	 0.20000    
   348.000    	 0.66895    	  26.000    	  31.000    	  6.3696    	  61.130    	  0.0000    	  0.0000    	 0.12143    	 0.36345    	  14.365    	 1.41472E+05	  6682.0    	  348.00    	  4.0000    	  0.0000    
   349.000    	 0.68254    	  26.000    	  31.000    	  6.6061    	  46.620    	  0.0000    	  0.0000    	 0.11777    	 0.39430    	  14.055    	 1.41458E+05	  6680.9    	  349.00    	  4.0000    	 0.70000    
   350.000    	 0.69612    	  27.000    	  31.000    	  6.8080    	  33.821    	  0.0000    	  0.0000    	 0.11633    	 0.42210    	  14.167    	 1.41444E+05	  6679.7    	  350.00    	  4.0000    	  1.2000    
   351.000    	 0.71001    	  25.000    	  31.000    	  6.9476    	  21.014    	  0.0000    	  0.0000    	 0.11558    	 0.44684    	  14.079    	 1.41430E+05	  6678.5    	  351.00    	  4.0000    	  3.8000    
   352.000    	 0.72329    	  23.000    	  24.000    	  7.1138    	  3.3939    	  50.000    	  0.0000    	 0.10986    	 0.46855    	  13.252    	 1.41416E+05	  6677.4    	  352.00    	  4.0000    	  0.0000    
   353.000    	 0.73384    	  23.000    	  29.000    	  7.0564    	  34.758    	  0.0000    	  0.0000    	 0.10438    	 0.48730    	  12.785    	 1.41404E+05	  6676.3    	  353.00    	  4.0000    	  1.3000    
   354.000    	 0.74610    	  23.000    	  29.000    	  7.2190    	  17.592    	  50.000    	  0.0000    	 0.10158    	 0.50319    	  12.679    	 1.41391E+05	  6675.3    	  354.00    	  4.0000    	  2.0000    
   355.000    	 0.75836    	  25.000    	  29.000    	  7.3545    	  51.303    	  0.0000    	  0.0000    	 9.98392E-02	 0.51636    	  12.528    	 1.41378E+05	  6674.2    	  355.00    	  4.0000    	  2.3000    
   356.000    	 0.77130    	  26.000    	  30.000    	  7.4164    	  32.331    	  0.0000    	  0.0000    	 0.10146    	 0.52700    	  13.067    	 1.41365E+05	  6673.1    	  356.00    	  4.0000    	  16.900    
   357.000    	 0.78492    	  26.000    	  31.000    	  7.4538    	  27.391    	  0.0000    	  0.0000    	 0.10613    	 0.53530    	  13.637    	 1.41352E+05	  6672.0    	  357.00    	  4.0000    	 0.20000    
   358.000    	 0.79850    	  26.000    	  31.000    	  7.4970    	  5.7488    	  50.000    	  0.0000    	 0.11066    	 0.54144    	  14.046    	 1.41338E+05	  6670.8    	  358.00    	  4.0000    	  0.0000    
   359.000    	 0.81208    	  26.000    	  31.000    	  7.5239    	  35.113    	  0.0000    	  0.0000    	 0.11376    	 0.54561    	  14.166    	 1.41324E+05	  6669.7    	  359.00    	  4.0000    	  0.0000    
   360.000    	 0.82567    	  26.000    	  31.000    	  7.5355    	  13.900    	  0.0000    	  0.0000    	 0.11599    	 0.54798    	  14.340    	 1.41309E+05	  6668.5    	  360.00    	  4.0000    	  0.0000    
   361.000    	 0.83925    	  25.000    	  32.000    	  7.5326    	  0.0000    	  0.0000    	  0.0000    	 0.12196    	  0.0000    	  16.741    	 1.41292E+05	  6667.1    	  361.00    	  4.0000    	  0.0000    
   362.000    	 0.85230    	  25.000    	  31.000    	  7.5419    	  0.0000    	  0.0000    	  0.0000    	 0.14048    	  0.0000    	  27.818    	 1.41265E+05	  6664.8    	  362.00    	  4.0000    	  0.0000    
   363.000    	 0.86558    	  23.000    	  29.000    	  7.5036    	  0.0000    	  0.0000    	  0.0000    	 0.13766    	  0.0000    	  31.685    	 1.41233E+05	  6662.1    	  363.00    	  4.0000    	 0.20000    
   364.000    	 0.87784    	  24.000    	  31.000    	  7.4812    	  0.0000    	  50.000    	  0.0000    	 0.13126    	  0.0000    	  32.405    	 1.41201E+05	  6659.4    	  364.00    	  4.0000    	  0.0000    
   365.000    	 0.89081    	  24.000    	  31.000    	  7.4112    	 0.12275    	  0.0000    	  0.0000    	 0.12335    	  0.0000    	  13.581    	 1.41187E+05	  6658.3    	  365.00    	  4.0000    	  0.0000    
