RUNNUM,WRR14,WAGT,RAINCUM,IRCUM,SOC,SON,DAE
1,5865.1,13494.0,895.3,1300.0,138980.0,6474.7,124.0
2,5222.5,10688.0,1003.4,1650.0,135890.0,6162.8,148.0
3,7328.3,12542.0,1720.5,450.0,133890.0,5990.5,110.0
4,4720.6,9994.4,1743.4,900.0,130330.0,5748.0,140.0
5,7869.0,13780.0,744.59,950.0,128360.0,5582.7,108.0
6,3867.8,9561.6,906.59,1300.0,125390.0,5333.5,139.0
7,6993.2,12629.0,508.3,1200.0,123430.0,5143.5,116.0
8,5102.5,9454.0,1120.5,1550.0,120770.0,4904.5,147.0
9,5832.6,13326.0,261.9,1250.0,118500.0,4753.3,108.0
10,7438.4,13178.0,871.79,1450.0,116250.0,4563.5,134.0
