RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        5871.4       11320.       169.10       1050.0      0.14141E+06   6659.0       51.930       98.000    
     2        3962.1       7361.5       468.70       1000.0      0.14063E+06   6573.3       41.970       95.000    
     3        3636.5       6715.4       117.89       1050.0      0.13976E+06   6488.9       73.610       100.00    
     4        3916.8       7194.3       277.00       1100.0      0.13900E+06   6407.7       42.380       95.000    
     5        3473.6       6464.9       403.10       1000.0      0.13810E+06   6319.6       28.990       99.000    
     6        3999.1       7348.0       405.90       900.00      0.13725E+06   6233.9       34.730       95.000    
     7        3544.7       6707.6       188.79       950.00      0.13644E+06   6152.2       22.290       98.000    
     8        4066.7       7124.3       382.70       1000.0      0.13560E+06   6065.8       46.790       96.000    
     9        3489.8       6139.2       413.29       850.00      0.13480E+06   5987.8       28.760       98.000    
    10        3625.4       6345.7       795.00       650.00      0.13412E+06   5915.0       49.890       95.000    
    11        3585.1       6369.0       202.60       1050.0      0.13329E+06   5832.4       50.670       95.000    
    12        3471.6       6337.2       365.99       1000.0      0.13254E+06   5755.0       44.790       95.000    
    13        3463.7       5264.6       439.90       750.00      0.13175E+06   5682.0       28.580       98.000    
    14        2955.5       5805.2       707.99       850.00      0.13119E+06   5618.4       50.910       95.000    
    15        2944.2       5195.1       184.30       1000.0      0.13058E+06   5558.0       82.500       98.000    
    16        3277.6       6320.5       463.40       1000.0      0.12989E+06   5485.4       49.350       96.000    
    17        3284.1       5920.1       84.700       1100.0      0.12918E+06   5413.3       25.480       99.000    
    18        3252.8       5641.9       578.40       950.00      0.12864E+06   5352.9       40.890       95.000    
    19        2724.9       4823.8       235.60       1000.0      0.12804E+06   5292.4       81.000       99.000    
    20        3061.0       5625.5       586.50       900.00      0.12747E+06   5228.9       40.410       95.000    
    21        2368.7       4752.8       188.90       1100.0      0.12689E+06   5171.3       73.970       98.000    
    22        2729.0       5235.4       525.60       1000.0      0.12639E+06   5112.8       45.170       97.000    
    23        2700.1       4714.7       122.70       1050.0      0.12580E+06   5054.8       75.480       98.000    
    24        2562.2       5101.3       611.19       800.00      0.12533E+06   5000.9       32.280       94.000    
    25        2637.0       4760.8       328.50       850.00      0.12476E+06   4944.3       85.050       97.000    
    26        2651.0       4890.3       504.30       850.00      0.12426E+06   4889.0       43.270       96.000    
    27        2730.7       4550.6       151.29       1150.0      0.12372E+06   4834.3       71.160       98.000    
    28        2589.4       4907.6       585.60       750.00      0.12320E+06   4777.6       40.970       95.000    
    29        1258.9       4370.5       351.30       850.00      0.12271E+06   4729.4       84.820       97.000    
    30        2758.5       5091.8       404.70       950.00      0.12223E+06   4674.9       34.730       95.000    
    31        2509.5       4512.0       83.700       1150.0      0.12167E+06   4617.6       35.480       100.00    
    32        2538.0       4740.4       578.80       700.00      0.12114E+06   4562.9       35.930       96.000    
    33        2187.6       3991.7       111.00       1100.0      0.12067E+06   4514.5       63.130       98.000    
    34        2616.2       4951.3       220.80       1200.0      0.12016E+06   4459.2       45.340       96.000    
    35        2252.6       4326.4       120.50       1100.0      0.11967E+06   4408.7       17.630       101.00    
    36        2402.7       4259.9       703.40       800.00      0.11925E+06   4360.4       38.840       96.000    
    37        1991.8       3710.4       386.80       850.00      0.11884E+06   4317.5       79.030       98.000    
    38        1972.9       3805.2       840.90       850.00      0.11847E+06   4274.3       36.730       95.000    
