*     Water balance PADDY used
*     Crop and soil nitrogen balance used
*     ****************************************************************
*     WARNING: Combined water and nitrogen limitations not validated!!
*     ****************************************************************
*     ORYZA model runs to simulate an experiment
*     Rice crop is direct-seeded
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* ORYYZA_v35 driver info:
*     Year: 2030, day: 291, System start
*     Year: 2031, day:  33, System end
*----------------------------------------------------------------------------
* OUTPUT FROM RERUN SET:    1
* OUTPUT TABLE FORMAT  : SPREADSHEET OUTPUT
* Simulation results
* Irrigation at minimum water depth; SWITIR=2
* Rainfed; no irrigation; SWITIR=0
* PADDY: Puddled soil (SWITPD=1)
* PADDY: Groundwater below profile (SWITGW=0)
* PADDY: Fixed percolation (SWITVP=-1)
 
TIME	DVS	TMIN	TMAX	LAI	IR	WL0	CO2C	CH4C	N2ON	NH3	SOC	SON	DOY	CROPSTA	RAIN
 
   291.000    	  0.0000    	  27.200    	  34.900    	  0.0000    	  50.000    	  10.000    	  8.1239    	  0.0000    	 2.05382E-02	 0.17725    	 1.42172E+05	  6740.4    	  291.00    	  0.0000    	  0.0000    
   292.000    	  0.0000    	  26.200    	  33.400    	  0.0000    	  0.0000    	  46.214    	  6.5835    	  0.0000    	 2.02474E-02	 0.18264    	 1.42164E+05	  6739.7    	  292.00    	  0.0000    	  0.0000    
   293.000    	  0.0000    	  26.900    	  30.500    	  0.0000    	  0.0000    	  31.402    	  6.7781    	  0.0000    	 2.05546E-02	 0.21305    	 1.42156E+05	  6739.1    	  293.00    	  0.0000    	  0.0000    
   294.000    	  0.0000    	  26.300    	  30.300    	  0.0000    	  0.0000    	  21.717    	  6.8532    	  0.0000    	 2.05199E-02	 0.21682    	 1.42148E+05	  6738.4    	  294.00    	  0.0000    	  0.0000    
   295.000    	  0.0000    	  26.200    	  34.200    	  0.0000    	  50.000    	  12.431    	  7.0301    	  0.0000    	 2.06029E-02	 0.22824    	 1.42140E+05	  6737.7    	  295.00    	  0.0000    	  0.0000    
   296.000    	  0.0000    	  28.500    	  34.700    	  0.0000    	  0.0000    	  49.624    	  7.2563    	  0.0000    	 2.14653E-02	 0.26553    	 1.42131E+05	  6737.0    	  296.00    	  0.0000    	  0.0000    
   297.000    	  0.0000    	  26.900    	  33.600    	  0.0000    	  0.0000    	  37.006    	  7.2560    	  0.0000    	 2.15255E-02	 0.29456    	 1.42122E+05	  6736.2    	  297.00    	  0.0000    	  23.500    
   298.000    	  0.0000    	  27.100    	  35.300    	  0.0000    	  0.0000    	  47.959    	  7.3194    	 0.33620    	 2.14311E-02	 0.29166    	 1.42113E+05	  6735.5    	  298.00    	  0.0000    	 0.50000    
   299.000    	  0.0000    	  26.900    	  33.800    	  0.0000    	  0.0000    	  38.356    	  7.3440    	 0.36060    	 2.13500E-02	 0.30635    	 1.42104E+05	  6734.7    	  299.00    	  0.0000    	  6.8000    
   300.000    	  0.0000    	  26.600    	  34.200    	 1.32000E-02	  0.0000    	  10.000    	  7.3840    	 0.38510    	 2.13832E-02	 0.30859    	 1.42095E+05	  6734.0    	  300.00    	  1.0000    	  80.100    
   301.000    	 1.41515E-02	  28.000    	  31.400    	 1.51408E-02	  0.0000    	  79.179    	  8.1547    	 9.58000E-02	 2.17663E-02	 0.32848    	 1.42086E+05	  6733.2    	  301.00    	  4.0000    	  3.1000    
   302.000    	 2.99867E-02	  28.900    	  32.300    	 1.76318E-02	  0.0000    	  75.301    	  8.0741    	 8.67000E-02	 2.16153E-02	 0.33407    	 1.42076E+05	  6732.4    	  302.00    	  4.0000    	  13.600    
   303.000    	 4.54767E-02	  27.600    	  35.300    	 2.04693E-02	  0.0000    	  81.575    	  8.0619    	 0.12230    	 2.15225E-02	 0.34109    	 1.42067E+05	  6731.6    	  303.00    	  4.0000    	  10.600    
   304.000    	 5.90789E-02	  28.200    	  34.900    	 2.33621E-02	  0.0000    	  77.098    	  8.1012    	 0.26200    	 2.18439E-02	 0.36782    	 1.42058E+05	  6730.8    	  304.00    	  4.0000    	 0.30000    
   305.000    	 7.29435E-02	  28.500    	  33.600    	 2.67273E-02	  0.0000    	  65.587    	  8.1110    	 0.57060    	 2.21580E-02	 0.39480    	 1.42048E+05	  6730.0    	  305.00    	  4.0000    	  6.9000    
   306.000    	 8.76196E-02	  27.400    	  34.500    	 3.08027E-02	  0.0000    	  63.746    	  8.0595    	 0.63830    	 2.19457E-02	 0.39802    	 1.42038E+05	  6729.2    	  306.00    	  4.0000    	  1.7000    
   307.000    	 0.10171    	  25.400    	  32.100    	 3.53125E-02	  0.0000    	  53.832    	  8.0185    	 0.65350    	 2.16720E-02	 0.39814    	 1.42028E+05	  6728.4    	  307.00    	  4.0000    	  1.8000    
   308.000    	 0.11656    	  25.100    	  30.100    	 4.07588E-02	  0.0000    	  42.793    	  7.8531    	 0.53460    	 2.07459E-02	 0.37072    	 1.42018E+05	  6727.6    	  308.00    	  4.0000    	  3.1000    
   309.000    	 0.13164    	  25.500    	  30.900    	 4.71448E-02	  0.0000    	  38.991    	  7.9035    	 0.13840    	 1.94779E-02	 0.31847    	 1.42009E+05	  6726.8    	  309.00    	  4.0000    	 0.30000    
   310.000    	 0.14684    	  24.300    	  30.900    	 5.45937E-02	  0.0000    	  32.801    	  7.8839    	 0.16290    	 1.91291E-02	 0.30841    	 1.42000E+05	  6726.0    	  310.00    	  4.0000    	  5.9000    
   311.000    	 0.16163    	  25.600    	  31.500    	 6.29791E-02	  0.0000    	  29.109    	  7.8316    	 0.17690    	 1.88421E-02	 0.30189    	 1.41991E+05	  6725.3    	  311.00    	  4.0000    	  3.4000    
   312.000    	 0.17674    	  24.800    	  33.200    	 7.28672E-02	  0.0000    	  23.082    	  7.8613    	 0.23930    	 1.88556E-02	 0.31076    	 1.41982E+05	  6724.5    	  312.00    	  4.0000    	  0.0000    
