RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          DAE        
     1        6591.6       13060.       894.80       1100.0      0.14105E+06   6646.6       96.000    
     2        6079.7       11301.       686.39       1250.0      0.13987E+06   6548.1       97.000    
     3        6717.3       12972.       1671.1       500.00      0.13865E+06   6445.9       97.000    
     4        6153.9       11328.       1357.5       700.00      0.13728E+06   6331.3       94.000    
     5        6337.7       13072.       743.99       800.00      0.13633E+06   6251.7       100.00    
     6        5689.6       11650.       684.59       950.00      0.13530E+06   6165.9       96.000    
     7        6262.2       12116.       504.20       1100.0      0.13438E+06   6088.7       96.000    
     8        5701.5       10902.       680.60       1150.0      0.13334E+06   6001.3       96.000    
     9        6262.1       13155.       261.30       1250.0      0.13248E+06   5929.2       101.00    
    10        5768.4       11181.       557.79       1150.0      0.13151E+06   5848.7       96.000    
