RUNNUM,WRR14,WAGT,RAINCUM,IRCUM,SOC,SON,DAE
1,5070.7,13090.0,895.3,2000.0,140240.0,6579.0,124.0
2,6449.5,11969.0,1003.4,2450.0,137410.0,6342.4,148.0
3,7215.0,12562.0,1720.5,950.0,135660.0,6195.5,110.0
4,5906.7,11064.0,1743.4,1550.0,133500.0,6015.4,140.0
5,6721.4,12443.0,744.59,1450.0,132140.0,5900.7,108.0
6,4735.9,10074.0,906.59,2100.0,129940.0,5716.8,139.0
7,7120.7,12695.0,508.3,1900.0,128260.0,5575.8,116.0
8,5454.3,10051.0,1120.5,2300.0,126030.0,5389.5,147.0
9,5460.6,12903.0,261.9,1900.0,124660.0,5273.9,108.0
10,6689.2,12343.0,871.79,2050.0,122690.0,5108.9,134.0
