RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        6577.8       12163.       159.10       750.00      0.14081E+06   6618.5       12.340       98.000    
     2        6419.2       10813.       329.00       700.00      0.13937E+06   6488.0       2.2400       97.000    
     3        5005.2       9064.0       85.000       800.00      0.13809E+06   6373.5       7.1700       99.000    
     4        5154.7       9788.2       155.10       700.00      0.13671E+06   6248.9      0.89000       97.000    
     5        4958.7       8795.9       359.00       700.00      0.13543E+06   6135.4       1.7400       99.000    
     6        4669.0       9259.1       272.00       700.00      0.13425E+06   6023.8       3.4600       98.000    
     7        4537.7       8315.2       321.99       700.00      0.13310E+06   5919.7       1.6400       98.000    
     8        5890.6       9814.9       316.50       700.00      0.13179E+06   5801.7       2.5800       99.000    
     9        4635.5       7808.8       307.70       600.00      0.13055E+06   5692.7       1.2900       98.000    
    10        4258.3       8726.5       515.50       600.00      0.12947E+06   5589.7       7.6300       97.000    
    11        4744.8       8289.8       131.89       800.00      0.12819E+06   5476.3       4.9900       98.000    
    12        4656.1       8755.3       375.80       650.00      0.12714E+06   5374.2       8.9900       97.000    
    13        3740.3       5700.9       458.80       450.00      0.12606E+06   5279.4      0.45000       99.000    
    14        4188.5       7634.1       394.99       600.00      0.12511E+06   5190.1       9.3300       97.000    
    15        3915.2       6960.2       219.29       700.00      0.12413E+06   5102.7      0.38000       98.000    
    16        4124.5       7807.4       359.60       700.00      0.12318E+06   5014.0       1.4200       98.000    
    17        3899.3       7366.6       81.200       650.00      0.12218E+06   4924.0      0.64000       97.000    
    18        2281.7       5952.8       376.80       600.00      0.12146E+06   4847.0       9.8500       98.000    
    19        2182.2       6560.0       259.40       650.00      0.12084E+06   4787.7       24.230       82.000    
    20        3537.9       6146.3       615.60       450.00      0.12027E+06   4721.7       18.860       96.000    
    21        3458.8       6471.2       238.59       650.00      0.11939E+06   4642.6       3.5700       98.000    
    22        3731.0       7154.6       403.99       600.00      0.11855E+06   4562.4       2.3000       99.000    
    23        3897.0       6574.9       69.790       700.00      0.11770E+06   4485.8      0.94000       98.000    
    24        3224.4       6435.5       195.99       700.00      0.11690E+06   4411.7      0.65000       96.000    
    25        3451.5       5966.0       305.80       600.00      0.11612E+06   4341.6      0.75000       98.000    
    26        3307.9       6272.1       476.99       600.00      0.11540E+06   4272.3       1.1300       98.000    
    27        2967.4       5436.1       129.09       750.00      0.11472E+06   4208.8       8.6400       98.000    
    28        3005.3       5618.4       598.29       550.00      0.11416E+06   4147.3       3.8300       97.000    
    29        2863.3       5066.7       443.30       600.00      0.11349E+06   4085.9       17.200       99.000    
    30        2859.8       5765.7       334.09       750.00      0.11280E+06   4022.6       1.9100       98.000    
    31        2631.4       5224.9       147.20       800.00      0.11212E+06   3959.6      0.20000       97.000    
    32        2912.2       5105.6       452.79       550.00      0.11147E+06   3900.6      0.61000       98.000    
    33        2564.3       4826.8       207.00       650.00      0.11086E+06   3843.6       2.9600       98.000    
    34        2660.7       5469.8       217.69       750.00      0.11019E+06   3780.6      0.82000       99.000    
    35        2278.3       4884.2       195.70       650.00      0.10959E+06   3724.1      0.14000       101.00    
    36        2380.1       4731.2       481.50       550.00      0.10903E+06   3670.2      0.69000       98.000    
    37        2484.4       4333.9       450.20       650.00      0.10845E+06   3617.8      0.24000       97.000    
    38        2396.3       4762.8       369.30       650.00      0.10791E+06   3565.1      0.24000       96.000    
    39        2306.7       3902.2       367.00       600.00      0.10742E+06   3519.6       12.240       97.000    
    40        2364.1       4591.5       544.50       450.00      0.10685E+06   3466.3       3.0600       101.00    
    41        2171.9       4174.1       204.30       600.00      0.10631E+06   3417.1      0.20000       100.00    
    42        1980.9       4063.8       418.80       550.00      0.10577E+06   3366.1      0.63000       99.000    
    43        2288.2       4238.0       128.80       700.00      0.10526E+06   3319.3      0.29000       98.000    
    44        2195.8       4224.5       543.40       500.00      0.10480E+06   3273.3      0.42000       98.000    
    45        1887.7       3556.1       341.09       500.00      0.10435E+06   3231.2       6.5100       103.00    
    46        2199.6       4540.4       287.10       600.00      0.10380E+06   3181.0      0.31000       99.000    
    47        1968.9       3756.2       75.200       750.00      0.10334E+06   3137.9      0.90000E-01   100.00    
    48        2250.1       4279.7       477.20       600.00      0.10286E+06   3091.5       1.5500       102.00    
