RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        5641.2       11121.       159.10       1250.0      0.14133E+06   6652.2       55.000       98.000    
     2        4332.6       8012.7       329.00       1350.0      0.14043E+06   6558.8       41.230       97.000    
     3        3422.4       6447.3       85.000       1350.0      0.13965E+06   6480.6       61.910       99.000    
     4        3776.2       7433.5       155.10       1400.0      0.13878E+06   6391.4       39.150       97.000    
     5        3597.9       6838.7       359.00       1100.0      0.13792E+06   6306.9       29.440       99.000    
     6        3637.2       7199.8       272.00       1300.0      0.13710E+06   6223.2       37.130       98.000    
     7        3405.0       6569.9       321.99       1150.0      0.13634E+06   6145.4       26.420       98.000    
     8        4402.1       7709.9       316.50       1350.0      0.13543E+06   6055.1       51.060       99.000    
     9        3757.5       6555.7       307.70       1050.0      0.13459E+06   5973.6       27.260       98.000    
    10        3197.2       6880.0       515.50       1100.0      0.13388E+06   5895.8       48.930       97.000    
    11        3462.4       6047.0       131.89       1350.0      0.13306E+06   5815.9       100.10       98.000    
    12        3518.9       6676.0       375.80       1300.0      0.13236E+06   5740.1       48.010       97.000    
    13        3814.8       5690.0       458.80       950.00      0.13151E+06   5660.9       30.810       99.000    
    14        3361.0       6129.7       394.99       1300.0      0.13081E+06   5587.7       45.350       97.000    
    15        2945.0       5345.0       219.29       1250.0      0.13014E+06   5520.7       49.530       98.000    
    16        3282.7       6353.2       359.60       1300.0      0.12947E+06   5449.9       49.690       98.000    
    17        2944.2       5616.4       81.200       1300.0      0.12883E+06   5383.3       23.210       97.000    
    18        3207.4       5945.4       376.80       1300.0      0.12815E+06   5314.5       39.080       98.000    
    19        2838.7       5677.3       263.29       1200.0      0.12746E+06   5244.6       19.690       101.00    
    20        3287.5       5975.4       615.60       1000.0      0.12681E+06   5178.0       34.880       96.000    
    21        2644.0       4895.3       238.59       1250.0      0.12621E+06   5118.4       68.010       98.000    
    22        3171.2       5907.5       403.99       1150.0      0.12552E+06   5049.9       36.950       99.000    
    23        3014.7       5192.6       69.790       1350.0      0.12494E+06   4991.0       21.900       98.000    
    24        2560.9       5044.5       195.99       1300.0      0.12441E+06   4935.0       29.840       96.000    
    25        2562.5       4755.1       305.80       1050.0      0.12383E+06   4876.8       23.750       98.000    
    26        2748.6       5207.2       476.99       1200.0      0.12332E+06   4819.7       44.220       98.000    
    27        2325.4       4136.2       129.09       1350.0      0.12283E+06   4769.0       78.380       98.000    
    28        2627.9       4756.4       598.29       1100.0      0.12236E+06   4714.7       40.800       97.000    
    29        2228.8       3970.0       443.30       1100.0      0.12189E+06   4666.7       87.850       99.000    
    30        2471.1       5041.2       334.09       1400.0      0.12140E+06   4610.7       39.990       98.000    
    31        2275.6       4445.1       147.20       1400.0      0.12088E+06   4555.8       39.740       97.000    
    32        2706.5       4794.5       452.79       1100.0      0.12031E+06   4498.6       36.270       98.000    
    33        2136.6       3976.4       207.00       1150.0      0.11984E+06   4449.1       40.990       98.000    
    34        2115.3       4302.4       217.69       1550.0      0.11939E+06   4399.6       47.030       99.000    
    35        2048.1       4287.5       195.70       1250.0      0.11891E+06   4348.8       14.800       101.00    
    36        2265.3       4393.5       481.50       1200.0      0.11844E+06   4297.2       35.700       98.000    
    37        2296.0       4153.8       450.20       1050.0      0.11791E+06   4244.7       24.410       97.000    
    38        2101.7       4208.4       369.30       1350.0      0.11752E+06   4197.5       37.980       96.000    
    39        2036.5       3485.8       367.00       1100.0      0.11712E+06   4155.2       72.690       97.000    
    40        2101.1       4330.2       544.50       1150.0      0.11660E+06   4102.6       43.140       101.00    
    41        2135.1       3944.5       204.30       1250.0      0.11613E+06   4054.9       18.860       100.00    
    42        2134.2       4009.5       418.80       1150.0      0.11563E+06   4003.1       37.460       99.000    
    43        2080.6       3687.7       128.80       1400.0      0.11525E+06   3963.3       23.300       98.000    
    44        2007.7       3849.3       543.40       1300.0      0.11491E+06   3921.1       41.720       98.000    
    45        1701.7       3085.4       341.09       950.00      0.11458E+06   3885.1       64.350       103.00    
    46        1891.4       3651.4       287.10       1300.0      0.11417E+06   3842.9       41.470       99.000    
    47        1853.2       3516.0       75.200       1300.0      0.11379E+06   3801.5       14.690       100.00    
    48        2071.5       3948.9       477.20       1400.0      0.11344E+06   3758.6       55.170       102.00    
