*     Water balance PADDY used
*     Crop and soil nitrogen balance used
*     ****************************************************************
*     WARNING: Combined water and nitrogen limitations not validated!!
*     ****************************************************************
*     ORYZA model runs for exploration
*     Rice crop is direct-seeded
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* ORYYZA_v35 driver info:
*     Year: 2025, day: 291, System start
*     Year: 2026, day:  33, System end
*----------------------------------------------------------------------------
* OUTPUT FROM RERUN SET:    1
* OUTPUT TABLE FORMAT  : SPREADSHEET OUTPUT
* Simulation results
* Irrigation at minimum water depth; SWITIR=2
* Irrigation at min. moist. pressure; SWITIR=3
* Rainfed; no irrigation; SWITIR=0
* PADDY: Puddled soil (SWITPD=1)
* PADDY: Groundwater below profile (SWITGW=0)
* PADDY: Fixed percolation (SWITVP=-1)
 
TIME	DVS	TMIN	TMAX	LAI	IR	WL0	CO2C	CH4C	N2ON	NH3	SOC	SON	DOY	CROPSTA	RAIN
 
   291.000    	  0.0000    	  25.000    	  27.100    	  0.0000    	  0.0000    	  10.000    	  8.1239    	  0.0000    	 2.05382E-02	 0.17725    	 1.42172E+05	  6740.4    	  291.00    	  0.0000    	  48.400    
   292.000    	  0.0000    	  24.100    	  27.600    	  0.0000    	  0.0000    	  51.970    	  6.1078    	  0.0000    	 1.83670E-02	 0.13426    	 1.42164E+05	  6739.7    	  292.00    	  0.0000    	  0.0000    
   293.000    	  0.0000    	  25.800    	  32.300    	  0.0000    	  0.0000    	  37.856    	  5.9585    	  0.0000    	 1.78337E-02	 0.13914    	 1.42157E+05	  6739.1    	  293.00    	  0.0000    	  0.0000    
   294.000    	  0.0000    	  23.500    	  33.100    	  0.0000    	  0.0000    	  21.805    	  6.3647    	  0.0000    	 1.88537E-02	 0.16551    	 1.42151E+05	  6738.6    	  294.00    	  0.0000    	  0.0000    
   295.000    	  0.0000    	  26.200    	  31.200    	  0.0000    	  0.0000    	 0.19044    	  6.7207    	  0.0000    	 2.00661E-02	 0.20318    	 1.42143E+05	  6738.0    	  295.00    	  0.0000    	  0.0000    
   296.000    	  0.0000    	  26.300    	  32.600    	  0.0000    	  0.0000    	  0.0000    	  15.387    	  0.0000    	 1.22342E-02	 0.21275    	 1.42135E+05	  6737.3    	  296.00    	  0.0000    	  0.0000    
   297.000    	  0.0000    	  27.100    	  35.700    	  0.0000    	  0.0000    	  0.0000    	  10.926    	  0.0000    	 1.11506E-02	 0.19960    	 1.42119E+05	  6735.9    	  297.00    	  0.0000    	  0.0000    
   298.000    	  0.0000    	  26.100    	  34.300    	  0.0000    	  0.0000    	  0.0000    	  9.6861    	 3.88000E-02	 1.16553E-02	 0.22064    	 1.42107E+05	  6735.0    	  298.00    	  0.0000    	  0.0000    
   299.000    	  0.0000    	  26.800    	  31.500    	  0.0000    	  0.0000    	  0.0000    	  9.0500    	 4.60000E-02	 1.19116E-02	 0.23142    	 1.42096E+05	  6734.1    	  299.00    	  0.0000    	  0.0000    
   300.000    	  0.0000    	  26.200    	  31.300    	 1.32000E-02	  50.000    	  10.000    	  8.3183    	  0.0000    	 3.72774E-02	 0.28444    	 1.42086E+05	  6733.2    	  300.00    	  1.0000    	  0.0000    
   301.000    	 1.53594E-02	  26.100    	  35.100    	 1.53064E-02	  0.0000    	  52.165    	  7.8904    	  0.0000    	 3.61286E-02	 0.27422    	 1.42077E+05	  6732.5    	  301.00    	  4.0000    	  0.0000    
   302.000    	 2.89453E-02	  28.400    	  35.600    	 1.74670E-02	  0.0000    	  35.530    	  7.8091    	  0.0000    	 3.51266E-02	 0.27588    	 1.42068E+05	  6731.7    	  302.00    	  4.0000    	  0.0000    
   303.000    	 4.23455E-02	  26.800    	  33.600    	 1.98988E-02	  0.0000    	  22.054    	  8.0151    	  0.0000    	 3.65538E-02	 0.29392    	 1.42059E+05	  6730.9    	  303.00    	  4.0000    	  18.600    
   304.000    	 5.68555E-02	  27.100    	  35.400    	 2.28986E-02	  0.0000    	  25.014    	  8.0425    	  0.0000    	 3.67660E-02	 0.31149    	 1.42050E+05	  6730.2    	  304.00    	  4.0000    	 0.90000    
