*     Water balance PADDY used
*     Crop and soil nitrogen balance used
*     ****************************************************************
*     WARNING: Combined water and nitrogen limitations not validated!!
*     ****************************************************************
*     ORYZA model runs for exploration
*     Rice crop is direct-seeded
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* ORYYZA_v35 driver info:
*     Year: 2025, day: 291, System start
*     Year: 2026, day:  33, System end
*----------------------------------------------------------------------------
* OUTPUT FROM RERUN SET:    1
* OUTPUT TABLE FORMAT  : SPREADSHEET OUTPUT
* Simulation results
* Irrigation at minimum water depth; SWITIR=2
* Rainfed; no irrigation; SWITIR=0
* PADDY: Puddled soil (SWITPD=1)
* PADDY: Groundwater below profile (SWITGW=0)
* PADDY: Fixed percolation (SWITVP=-1)
 
TIME	DVS	TMIN	TMAX	LAI	IR	WL0	CO2C	CH4C	N2ON	NH3	SOC	SON	DOY	CROPSTA	RAIN
 
   291.000    	  0.0000    	  25.000    	  27.100    	  0.0000    	  50.000    	  10.000    	  8.1239    	  0.0000    	 2.05382E-02	 0.17725    	 1.42172E+05	  6740.4    	  291.00    	  0.0000    	  48.400    
   292.000    	  0.0000    	  24.100    	  27.600    	  0.0000    	  0.0000    	  85.000    	  6.1078    	  0.0000    	 1.83670E-02	 0.13428    	 1.42164E+05	  6739.7    	  292.00    	  0.0000    	  0.0000    
   293.000    	  0.0000    	  25.800    	  32.300    	  0.0000    	  0.0000    	  70.886    	  6.2396    	  0.0000    	 1.85848E-02	 0.13980    	 1.42157E+05	  6739.1    	  293.00    	  0.0000    	  0.0000    
   294.000    	  0.0000    	  23.500    	  33.100    	  0.0000    	  0.0000    	  54.836    	  6.6361    	  0.0000    	 1.98507E-02	 0.17724    	 1.42150E+05	  6738.5    	  294.00    	  0.0000    	  0.0000    
   295.000    	  0.0000    	  26.200    	  31.200    	  0.0000    	  0.0000    	  33.221    	  6.6162    	  0.0000    	 1.94536E-02	 0.19016    	 1.42142E+05	  6737.9    	  295.00    	  0.0000    	  0.0000    
   296.000    	  0.0000    	  26.300    	  32.600    	  0.0000    	  50.000    	  19.032    	  6.8162    	  0.0000    	 1.96879E-02	 0.19210    	 1.42134E+05	  6737.2    	  296.00    	  0.0000    	  0.0000    
   297.000    	  0.0000    	  27.100    	  35.700    	  0.0000    	  0.0000    	  55.377    	  7.1382    	  0.0000    	 2.07020E-02	 0.22848    	 1.42126E+05	  6736.5    	  297.00    	  0.0000    	  0.0000    
   298.000    	  0.0000    	  26.100    	  34.300    	  0.0000    	  0.0000    	  39.921    	  6.9599    	  0.0000    	 2.00317E-02	 0.24248    	 1.42118E+05	  6735.8    	  298.00    	  0.0000    	  0.0000    
   299.000    	  0.0000    	  26.800    	  31.500    	  0.0000    	  0.0000    	  29.643    	  7.0997    	 2.09000E-02	 2.01936E-02	 0.23525    	 1.42109E+05	  6735.1    	  299.00    	  0.0000    	  0.0000    
   300.000    	  0.0000    	  26.200    	  31.300    	 1.32000E-02	  50.000    	  10.000    	  7.2554    	 0.34190    	 2.07097E-02	 0.25685    	 1.42101E+05	  6734.4    	  300.00    	  1.0000    	  0.0000    
