RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          DAE        
     1        6379.6       12581.       723.70       1200.0      0.14097E+06   6640.0       97.000    
     2        6159.0       11407.       804.69       1200.0      0.13944E+06   6512.0       97.000    
     3        6564.4       12815.       1524.2       500.00      0.13830E+06   6417.1       97.000    
     4        5939.9       11083.       1407.6       700.00      0.13689E+06   6298.9       94.000    
     5        6550.9       13281.       685.09       850.00      0.13582E+06   6209.2       100.00    
     6        5531.4       11099.       701.09       950.00      0.13473E+06   6118.0       95.000    
     7        6653.9       13003.       432.69       1200.0      0.13354E+06   6018.2       97.000    
     8        5833.8       11116.       704.80       1100.0      0.13216E+06   5903.0       96.000    
     9        6563.5       13489.       162.09       1450.0      0.13108E+06   5812.4       102.00    
    10        5938.6       11315.       591.59       1100.0      0.12982E+06   5707.4       95.000    
