*     Water balance PADDY used
*     Crop and soil nitrogen balance used
*     ****************************************************************
*     WARNING: Combined water and nitrogen limitations not validated!!
*     ****************************************************************
*     ORYZA model runs to simulate an experiment
*     Rice crop is direct-seeded
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* ORYYZA200 driver info:
*     Year: 2015, day: 300, System start
*     Year: 2016, day:  42, System end
*----------------------------------------------------------------------------
* OUTPUT FROM RERUN SET:    1
* OUTPUT TABLE FORMAT  : TABLE OUTPUT      
* Simulation results
* Irrigation at minimum water depth; SWITIR=2
* PADDY: Puddled soil (SWITPD=1)
* PADDY: Groundwater below profile (SWITGW=0)
* PADDY: Fixed percolation (SWITVP=-1)
 
      TIME          WL0           IR          N2O          NH3      LEACHED     CO2RELEASED       SOC          SON    
 
   300.000       10.000       50.000      0.26016       1.1273       0.0000       10.916      1.42162E+05   6739.5    
   301.000       49.211       0.0000      0.24799       1.1015       0.0000       10.600      1.42151E+05   6738.6    
   302.000       49.193       0.0000      0.21601      0.87534       0.0000       9.7763      1.42141E+05   6737.8    
   303.000       33.798       0.0000      0.20251      0.80897       0.0000       10.045      1.42131E+05   6737.0    
   304.000       19.821       50.000      0.19177      0.84643       0.0000       10.555      1.42121E+05   6736.1    
   305.000       58.504       0.0000      0.17810      0.86920       0.0000       10.789      1.42110E+05   6735.2    
   306.000       85.000       0.0000      0.16242      0.84535       0.0000       10.738      1.42099E+05   6734.3    
   307.000       85.000       0.0000      0.15069      0.84308       0.0000       10.946      1.42088E+05   6733.4    
   308.000       75.792       0.0000      0.13805      0.83989       0.0000       10.929      1.42077E+05   6732.5    
   309.000       85.000       0.0000      0.12622      0.81622       0.0000       10.875      1.42066E+05   6731.6    
   310.000       10.000       0.0000      0.11561      0.80443       0.0000       10.824      1.42055E+05   6730.7    
   311.000       85.000       0.0000      0.10636      0.78835       0.0000       10.868      1.42045E+05   6729.7    
   312.000       85.000       0.0000      9.82185E-02  0.78397      2.45970E-03   10.966      1.42034E+05   6728.8    
   313.000       85.000       0.0000      9.05569E-02  0.77977      5.21526E-03   11.015      1.42023E+05   6727.9    
   314.000       76.157       0.0000      8.39810E-02  0.78439      8.16234E-03   11.179      1.42011E+05   6727.0    
   315.000       61.048       0.0000      7.85001E-02  0.81114      1.12859E-02   11.455      1.42000E+05   6726.0    
   316.000       46.083       0.0000      7.07825E-02  0.78356      1.45704E-02   10.901      1.41989E+05   6725.1    
   317.000       53.406       0.0000      6.17670E-02   1.0143      1.80007E-02   9.7264      1.41979E+05   6724.3    
   318.000       85.000       0.0000      5.77724E-02   1.1744      2.15615E-02   10.349      1.41969E+05   6723.4    
   319.000       85.000       0.0000      5.57430E-02   1.4073      2.52378E-02   11.062      1.41958E+05   6722.5    
   320.000       85.000       0.0000      5.28534E-02   1.4998      2.90149E-02   11.375      1.41947E+05   6721.6    
   321.000       71.420       0.0000      4.97346E-02   1.5190      3.28785E-02   11.543      1.41935E+05   6720.6    
   322.000       59.815       0.0000      4.65278E-02   1.4938      3.68142E-02   11.556      1.41923E+05   6719.7    
   323.000       79.193       0.0000      4.35280E-02   1.4569      4.08084E-02   11.646      1.41912E+05   6718.7    
   324.000       60.962       0.0000      4.09294E-02   1.4429      4.48475E-02   11.793      1.41900E+05   6717.7    
   325.000       44.607       0.0000      3.40318E-02   1.3579      4.89182E-02   11.454      1.41889E+05   6716.7    
   326.000       33.913       0.0000      3.14185E-02   1.2605      5.30078E-02   11.334      1.41877E+05   6715.8    
   327.000       47.889       0.0000      2.90704E-02   1.1756      5.71038E-02   11.014      1.41866E+05   6714.9    
   328.000       31.166       0.0000      2.70089E-02   1.1155      6.11939E-02   11.166      1.41855E+05   6714.0    
   329.000       43.280       0.0000      2.53299E-02   1.0838      6.52665E-02   11.102      1.41844E+05   6713.0    
   330.000       39.073       0.0000      2.35970E-02   1.0276      6.93100E-02   11.090      1.41833E+05   6712.1    
   331.000       63.771       0.0000      2.21399E-02   1.0005      7.33136E-02   11.327      1.41821E+05   6711.2    
   332.000       48.417       0.0000      2.06344E-02  0.95359      7.72665E-02   11.025      1.41810E+05   6710.2    
   333.000       34.775       0.0000      1.90642E-02  0.89013      8.11585E-02   11.186      1.41799E+05   6709.3    
   334.000       18.514       50.000      1.79407E-02  0.89088      8.49799E-02   11.672      1.41788E+05   6708.3    
   335.000       58.157       0.0000      1.42612E-02   1.7288      8.87211E-02   12.038      1.41776E+05   6707.3    
   336.000       39.025       0.0000      1.33994E-02   1.8987      9.23728E-02   11.865      1.41764E+05   6706.3    
   337.000       25.457       0.0000      1.25432E-02   1.8961      9.59262E-02   12.007      1.41752E+05   6705.3    
   338.000       6.2883       50.000      1.18195E-02   1.8778      9.93729E-02   12.283      1.41739E+05   6704.3    
   339.000       32.755       0.0000      1.10241E-02   1.6972      0.10271       12.059      1.41727E+05   6703.3    
   340.000       27.201       0.0000      1.01307E-02   1.4792      0.10995       11.890      1.41715E+05   6702.3    
   341.000       38.815       0.0000      9.36055E-03   1.2911      0.12750       11.719      1.41704E+05   6701.3    
   342.000       32.915       0.0000      8.66602E-03   1.1000      0.14470       11.597      1.41692E+05   6700.4    
   343.000       20.475       0.0000      7.89921E-03  0.95899      0.16150       11.734      1.41680E+05   6699.4    
   344.000       47.525       0.0000      5.84370E-03  0.79870      0.17787       11.417      1.41669E+05   6698.5    
   345.000       53.937       0.0000      5.43969E-03  0.61107      0.19374       10.640      1.41658E+05   6697.6    
   346.000       66.059       0.0000      5.13688E-03  0.47200      0.20908       11.119      1.41647E+05   6696.6    
   347.000       61.863       0.0000      4.99081E-03  0.35950      0.22382       11.419      1.41636E+05   6695.7    
   348.000       42.398       0.0000      4.79471E-03  0.31550      0.23794       11.183      1.41625E+05   6694.8    
   349.000       27.202       0.0000      2.36326E-03  0.25439      0.25138       11.173      1.41613E+05   6693.8    
   350.000       13.893       50.000      1.76979E-03  0.22259      0.26412       11.493      1.41602E+05   6692.9    
   351.000       50.647       0.0000      1.67128E-03  0.21739      0.27613       10.992      1.41591E+05   6691.9    
   352.000       32.378       0.0000      1.56954E-03  0.20994      0.28738       10.157      1.41581E+05   6691.1    
   353.000       13.299       50.000      1.47374E-03  0.20356      0.29787       9.9814      1.41571E+05   6690.3    
   354.000       45.763       0.0000      1.39727E-03  0.19962      0.30759       9.7835      1.41561E+05   6689.5    
   355.000       29.186       0.0000      1.33397E-03  0.19829      0.31654       10.093      1.41551E+05   6688.6    
   356.000       9.9395       50.000      1.29016E-03  0.20184      0.32471       10.721      1.41540E+05   6687.7    
   357.000       55.089       0.0000      1.25630E-03  0.20263      0.33213       10.231      1.41530E+05   6686.9    
   358.000       33.568       0.0000      1.21558E-03  0.20231      0.33879       10.455      1.41520E+05   6686.0    
   359.000       12.788       50.000      1.18724E-03  0.20647      0.34472       10.985      1.41509E+05   6685.1    
   360.000       41.448       0.0000      1.16570E-03  0.20961      0.34992       10.980      1.41498E+05   6684.2    
   361.000       19.842       50.000      1.14266E-03  0.21107      0.35443       10.981      1.41487E+05   6683.3    
   362.000       48.248       0.0000      1.11901E-03  0.21066      0.35827       10.693      1.41476E+05   6682.4    
   363.000       26.683       0.0000      1.09244E-03  0.20780      0.36144       10.317      1.41466E+05   6681.5    
   364.000       10.228       50.000      1.06620E-03  0.20643      0.36399       10.424      1.41455E+05   6680.6    
   365.000       39.110       0.0000      1.04578E-03  0.20636      0.36593       10.402      1.41445E+05   6679.8    
   366.000       17.655       50.000      1.02749E-03  0.20646      0.36730       10.473      1.41434E+05   6678.9    
   367.000       46.205       0.0000      1.01132E-03  0.20678      0.36811       10.439      1.41424E+05   6678.0    
   368.000       29.625       0.0000      9.97475E-04  0.20999      0.36839       11.010      1.41413E+05   6677.1    
   369.000       15.625       50.000      9.90985E-04  0.21389      0.36817       11.106      1.41402E+05   6676.2    
   370.000       52.561       0.0000      9.80143E-04  0.21350      0.36748       10.705      1.41391E+05   6675.3    
   371.000       41.520       0.0000      9.64573E-04  0.21304      0.36634       10.808      1.41380E+05   6674.4    
   372.000       25.284       0.0000      9.53432E-04  0.21471      0.36478       10.991      1.41369E+05   6673.5    
   373.000       5.4692       50.000      9.45107E-04  0.21789      0.36283       11.311      1.41358E+05   6672.5    
   374.000       34.961       0.0000      9.38913E-04  0.22115      0.36051       11.394      1.41347E+05   6671.6    
   375.000       13.622       50.000      9.31004E-04  0.22231      0.35785       11.316      1.41335E+05   6670.6    
   376.000       44.910       0.0000      9.20022E-04  0.22153      0.35488       11.070      1.41324E+05   6669.7    
   377.000       32.953       0.0000      9.07432E-04  0.22157      0.35161       11.231      1.41313E+05   6668.8    
   378.000       15.785       50.000      8.99333E-04  0.22429      0.34807       11.507      1.41301E+05   6667.8    
   379.000       45.703       0.0000      8.92477E-04  0.23064      0.34427       11.412      1.41290E+05   6666.9    
   380.000       24.191       0.0000      8.45185E-04  0.24308      0.34025       11.549      1.41278E+05   6665.9    
   381.000       3.8305       50.000      8.39026E-04  0.24917      0.33601       11.749      1.41267E+05   6664.9    
   382.000       40.644       0.0000      8.32704E-04  0.25314      0.33157       11.676      1.41255E+05   6664.0    
   383.000       26.181       0.0000      8.24670E-04  0.25416      0.32696       11.730      1.41243E+05   6663.0    
   384.000       15.084       50.000      8.17599E-04  0.24729      0.32218       11.832      1.41231E+05   6662.0    
   385.000       44.799       0.0000      8.10258E-04  0.23440      0.31726       11.703      1.41220E+05   6661.0    
   386.000       23.176       0.0000      8.01647E-04  0.23490      0.31220       11.808      1.41208E+05   6660.0    
   387.000       1.5250       50.000      7.94847E-04  0.23555      0.30701       11.767      1.41196E+05   6659.0    
   388.000       32.859       0.0000      7.86655E-04  0.23596      0.30172       11.786      1.41184E+05   6658.1    
   389.000       14.255       50.000      7.80289E-04  0.23893      0.29634       12.118      1.41172E+05   6657.1    
   390.000       55.266       0.0000      7.75215E-04  0.23865      0.29087       11.711      1.41161E+05   6656.1    
   391.000       33.167       0.0000      7.62491E-04  0.23206      0.28533       11.051      1.41150E+05   6655.2    
   392.000       11.249       50.000      7.47851E-04  0.22801      0.27972       11.066      1.41138E+05   6654.2    
   393.000       42.855       0.0000      7.38190E-04  0.22803      0.27406       11.303      1.41127E+05   6653.3    
   394.000       22.375       0.0000      7.32595E-04  0.22958      0.26835       11.461      1.41116E+05   6652.3    
   395.000       5.4613       50.000      7.27906E-04  0.23130      0.26261       11.584      1.41104E+05   6651.4    
   396.000       34.775       0.0000      7.23014E-04  0.23258      0.25684       11.579      1.41093E+05   6650.4    
   397.000       13.574       50.000      7.17467E-04  0.23346      0.25105       11.647      1.41081E+05   6649.4    
   398.000       43.894       0.0000      7.12085E-04  0.23464      0.24524       11.701      1.41069E+05   6648.5    
   399.000       22.277       0.0000      7.06929E-04  0.23550      0.23944       11.743      1.41057E+05   6647.5    
   400.000       1.4291       50.000      7.01795E-04  0.23618      0.23363       11.762      1.41046E+05   6646.5    
   401.000       33.599       0.0000      6.96559E-04  0.23782      0.22782       11.911      1.41034E+05   6645.5    
   402.000       11.211       50.000      6.92613E-04  0.23918      0.22212       11.933      1.41022E+05   6644.5    
   403.000       38.471       0.0000      6.86357E-04  0.23657      0.21655       11.484      1.41010E+05   6643.6    
   404.000       14.199       50.000      6.73968E-04  0.22800      0.21111       10.578      1.41000E+05   6642.7    
   405.000       40.607       0.0000      6.57785E-04  0.22113      0.20580       10.471      1.40989E+05   6641.8    
   406.000       17.550       50.000      6.48784E-04  0.22076      0.20061       10.971      1.40978E+05   6640.9    
   407.000       49.924       0.0000      6.45719E-04  0.22210      0.19554       11.052      1.40967E+05   6640.0    
 
      TIME          DOY      CROPSTA         RAIN          DVS    
 
   300.000       300.00       0.0000       4.7000            -    
   301.000       301.00       0.0000       15.500            -    
   302.000       302.00       0.0000       0.0000            -    
   303.000       303.00       0.0000       0.0000            -    
   304.000       304.00       0.0000       4.6000            -    
   305.000       305.00       0.0000       58.000            -    
   306.000       306.00       0.0000       15.000            -    
   307.000       307.00       0.0000       4.8000            -    
   308.000       308.00       0.0000       47.100            -    
   309.000       309.00       0.0000       21.600            -    
   310.000       310.00       1.0000       105.00       0.0000    
   311.000       311.00       4.0000       53.300      1.34480E-02
   312.000       312.00       4.0000       24.700      2.68247E-02
   313.000       313.00       4.0000       5.7000      4.02014E-02
   314.000       314.00       4.0000       0.0000      5.35780E-02
   315.000       315.00       4.0000      0.30000      6.66374E-02
