RUNNUM,ETDCUM,EVSCCUM,TRCCUM,WRR14,WSO,WAGT,PARCUM,TS,TMAXC,TMINC,TAVERC,DAYSFL,SF1,SF2,SPFERT,ANCR,RAINCUM,IRCUM,RUNOFCUM,TRWCUM,EVSWCUM,DRAICUM,CAPTOTCUM,DSWC,SOC,SON,FERCUM,EMD,DAE
1,808.75,338.99,763.98,7518.9,8694.3,17890.0,582.6,1902.1,3300.0,2498.0,2899.0,81.0,0.954,0.934,0.934,182.09,538.5,840.0,0.0,747.79,315.45,297.0,0.0,0.0,39218.0,2119.7,180.0,1.0,104.0
2,802.71,351.25,734.27,7823.3,8931.9,17490.0,561.16,1902.1,3300.0,2498.0,2899.0,81.0,0.954,0.934,0.934,190.93,538.5,690.0,0.0,700.86,296.69,223.4,0.0,0.0,39009.0,2102.2,180.0,1.0,104.0
3,999.16,366.51,1086.0,6959.1,8344.4,17434.0,672.85,1900.8,3625.0,2691.0,3158.0,83.0,0.954,0.894,0.894,185.67,266.99,1260.0,0.0,966.48,321.02,295.66,0.0,-46.17,39126.0,2111.9,180.0,1.0,107.0
4,994.52,379.15,1063.2,6329.5,7625.4,15827.0,650.5,1900.8,3625.0,2691.0,3158.0,83.0,0.954,0.894,0.894,188.41,266.99,1050.0,0.0,847.62,300.61,236.38,0.0,-57.61,38933.0,2095.9,180.0,1.0,107.0
5,865.31,284.21,985.47,7211.9,8732.5,18581.0,645.08,1895.6,3305.0,2442.0,2873.5,80.0,0.954,0.99,0.954,195.56,476.6,900.0,-18.46,879.51,272.3,281.63,0.0,-65.31,39156.0,2114.5,180.0,1.0,103.0
6,861.09,285.06,978.67,7305.7,8812.2,18382.0,640.01,1895.6,3305.0,2442.0,2873.5,80.0,0.954,0.99,0.954,203.0,476.6,810.0,-31.34,843.38,250.42,239.64,0.0,-68.2,39043.0,2105.1,180.0,1.0,103.0
7,807.08,284.96,894.68,7361.7,8682.5,17515.0,546.13,1889.4,3161.5,2480.5,2821.0,78.0,0.954,0.951,0.951,189.21,938.79,480.0,-88.01,834.46,264.73,273.26,0.0,-31.69,39188.0,2117.2,180.0,1.0,100.0
8,805.9,284.37,893.9,7394.8,8718.9,17564.0,546.26,1889.4,3161.5,2480.5,2821.0,78.0,0.954,0.951,0.951,195.47,938.79,420.0,-72.42,815.19,263.36,251.21,0.0,-33.39,39121.0,2111.5,180.0,1.0,100.0
9,936.41,293.1,1134.5,7362.7,8684.2,18015.0,605.17,1885.7,3335.0,2573.0,2954.0,79.0,0.954,0.831,0.831,198.45,327.29,1170.0,0.0,1016.3,265.63,273.32,0.0,-47.99,39123.0,2111.7,180.0,1.0,102.0
10,932.34,299.57,1118.0,6566.9,7948.4,16541.0,594.8,1885.7,3335.0,2573.0,2954.0,79.0,0.954,0.831,0.831,206.91,327.29,960.0,0.0,891.38,244.48,216.38,0.0,-54.95,38928.0,2095.5,180.0,1.0,102.0
11,921.26,289.17,1086.1,7476.9,8820.7,18974.0,645.12,1902.5,3358.0,2515.0,2936.5,82.0,0.954,0.96,0.954,200.86,301.89,1230.0,0.0,992.39,272.6,282.96,0.0,-6.07,39116.0,2111.1,180.0,1.0,105.0
12,916.11,304.09,1057.7,7280.2,8628.0,18072.0,619.7,1902.5,3358.0,2515.0,2936.5,82.0,0.954,0.96,0.954,210.43,301.89,1050.0,0.0,893.78,275.66,213.78,0.0,-21.33,38897.0,2092.9,180.0,1.0,105.0
13,928.95,291.57,1152.4,5073.9,6810.6,16367.0,543.19,1881.6,3110.0,2456.0,2783.0,78.0,0.954,0.968,0.954,195.84,129.29,1260.0,0.0,915.63,278.86,275.94,0.0,-71.15,39167.0,2115.4,180.0,1.0,100.0
14,924.9,307.0,1125.4,3967.0,5810.3,14460.0,523.5,1881.6,3110.0,2456.0,2783.0,78.0,0.954,0.968,0.954,198.74,129.29,1050.0,0.0,793.53,261.06,212.21,0.0,-77.51,38986.0,2100.4,180.0,1.0,100.0
15,1026.8,349.39,1253.7,4914.5,6388.1,14386.0,533.02,1906.2,3172.0,2534.5,2853.2,76.0,0.954,0.941,0.941,185.06,34.9,1380.0,0.0,926.0,314.81,263.46,0.0,-79.37,39152.0,2114.1,180.0,1.0,99.0
16,1022.8,373.19,1220.4,4154.3,5627.2,12409.0,509.92,1906.2,3172.0,2534.5,2853.2,76.0,0.954,0.941,0.941,183.54,34.9,1170.0,0.0,792.07,295.09,209.77,0.0,-82.04,38939.0,2096.4,180.0,1.0,99.0
17,853.53,293.01,999.16,7377.6,8623.9,17560.0,504.57,1905.8,3000.0,2472.0,2736.0,76.0,0.954,0.988,0.954,191.69,874.9,840.0,-98.59,964.61,278.54,283.13,0.0,0.0,39252.0,2122.5,180.0,1.0,98.0
18,850.95,293.17,996.23,7432.5,8660.3,17348.0,502.4,1905.8,3000.0,2472.0,2736.0,76.0,0.954,0.988,0.954,200.56,874.9,720.0,-86.4,909.65,271.42,237.41,0.0,0.0,39128.0,2112.1,180.0,1.0,98.0
19,770.11,242.64,925.9,6055.2,7312.5,16179.0,509.1,1894.2,3035.0,2483.0,2759.0,77.0,0.954,0.976,0.954,192.35,325.7,870.0,0.0,791.54,216.79,271.82,0.0,-74.46,39176.0,2116.1,180.0,1.0,99.0
20,768.92,244.52,923.81,5077.3,6446.4,14870.0,503.43,1894.2,3035.0,2483.0,2759.0,77.0,0.954,0.976,0.954,198.32,325.7,720.0,0.0,699.37,211.16,229.83,0.0,-84.67,39056.0,2106.2,180.0,1.0,99.0
21,946.18,320.82,1125.9,6124.8,7364.1,16112.0,532.49,1898.6,3132.0,2547.0,2839.5,76.0,0.954,0.956,0.954,195.19,194.0,1260.0,0.0,938.53,304.81,261.7,0.0,-41.05,39152.0,2114.2,180.0,1.0,99.0
22,942.23,326.46,1109.9,5153.5,6498.0,14812.0,524.43,1898.6,3132.0,2547.0,2839.5,76.0,0.954,0.956,0.954,204.17,194.0,1080.0,0.0,844.42,287.57,199.1,0.0,-47.09,38960.0,2098.1,180.0,1.0,99.0
23,937.97,313.56,1109.3,5493.0,7195.2,16355.0,589.28,1903.2,3250.0,2486.5,2868.2,79.0,0.954,0.959,0.954,188.7,69.5,1290.0,0.0,877.5,280.21,273.89,0.0,-62.12,39144.0,2113.5,180.0,1.0,102.0
24,934.07,338.84,1064.2,4627.5,6360.3,14221.0,558.15,1903.2,3250.0,2486.5,2868.2,79.0,0.954,0.959,0.954,188.64,69.5,1080.0,0.0,749.08,265.96,212.11,0.0,-67.65,38955.0,2097.7,180.0,1.0,102.0
25,871.51,277.3,1052.0,4354.7,6200.7,15615.0,541.62,1896.2,3136.0,2506.0,2821.0,81.0,0.954,0.934,0.934,185.3,95.19,1170.0,0.0,809.44,257.72,276.15,0.0,-68.13,39148.0,2113.8,180.0,1.0,103.0
26,866.77,284.76,1032.8,3470.5,5416.3,14221.0,527.4,1896.2,3136.0,2506.0,2821.0,81.0,0.954,0.934,0.934,192.15,95.19,990.0,0.0,722.87,232.81,213.16,0.0,-73.65,38977.0,2099.6,180.0,1.0,103.0
