RUNNUM       ETDCUM       EVSCCUM      TRCCUM       WRR14        WSO          WAGT         PARCUM       TS           TMAXC        TMINC        TAVERC       DAYSFL       SF1          SF2          SPFERT       ANCR         RAINCUM      IRCUM        RUNOFCUM     TRWCUM       EVSWCUM      DRAICUM      CAPTOTCUM    DSWC         SOC          SON          FERCUM       EMD          DAE        
     1        808.75       338.99       763.98       7518.9       8694.3       17890.       582.60       1902.1       3300.0       2498.0       2899.0       81.000      0.95400      0.93400      0.93400       182.09       538.50       840.00       0.0000       747.79       315.45       297.00       0.0000       0.0000       39218.       2119.7       180.00       1.0000       104.00    
     2        802.71       351.25       734.27       7823.3       8931.9       17490.       561.16       1902.1       3300.0       2498.0       2899.0       81.000      0.95400      0.93400      0.93400       190.93       538.50       690.00       0.0000       700.86       296.69       223.40       0.0000       0.0000       39009.       2102.2       180.00       1.0000       104.00    
     3        999.16       366.51       1086.0       6959.1       8344.4       17434.       672.85       1900.8       3625.0       2691.0       3158.0       83.000      0.95400      0.89400      0.89400       185.67       266.99       1260.0       0.0000       966.48       321.02       295.66       0.0000      -46.170       39126.       2111.9       180.00       1.0000       107.00    
     4        994.52       379.15       1063.2       6329.5       7625.4       15827.       650.50       1900.8       3625.0       2691.0       3158.0       83.000      0.95400      0.89400      0.89400       188.41       266.99       1050.0       0.0000       847.62       300.61       236.38       0.0000      -57.610       38933.       2095.9       180.00       1.0000       107.00    
     5        865.31       284.21       985.47       7211.9       8732.5       18581.       645.08       1895.6       3305.0       2442.0       2873.5       80.000      0.95400      0.99000      0.95400       195.56       476.60       900.00      -18.460       879.51       272.30       281.63       0.0000      -65.310       39156.       2114.5       180.00       1.0000       103.00    
     6        861.09       285.06       978.67       7305.7       8812.2       18382.       640.01       1895.6       3305.0       2442.0       2873.5       80.000      0.95400      0.99000      0.95400       203.00       476.60       810.00      -31.340       843.38       250.42       239.64       0.0000      -68.200       39043.       2105.1       180.00       1.0000       103.00    
     7        807.08       284.96       894.68       7361.7       8682.5       17515.       546.13       1889.4       3161.5       2480.5       2821.0       78.000      0.95400      0.95100      0.95100       189.21       938.79       480.00      -88.010       834.46       264.73       273.26       0.0000      -31.690       39188.       2117.2       180.00       1.0000       100.00    
     8        805.90       284.37       893.90       7394.8       8718.9       17564.       546.26       1889.4       3161.5       2480.5       2821.0       78.000      0.95400      0.95100      0.95100       195.47       938.79       420.00      -72.420       815.19       263.36       251.21       0.0000      -33.390       39121.       2111.5       180.00       1.0000       100.00    
     9        936.41       293.10       1134.5       7362.7       8684.2       18015.       605.17       1885.7       3335.0       2573.0       2954.0       79.000      0.95400      0.83100      0.83100       198.45       327.29       1170.0       0.0000       1016.3       265.63       273.32       0.0000      -47.990       39123.       2111.7       180.00       1.0000       102.00    
    10        932.34       299.57       1118.0       6566.9       7948.4       16541.       594.80       1885.7       3335.0       2573.0       2954.0       79.000      0.95400      0.83100      0.83100       206.91       327.29       960.00       0.0000       891.38       244.48       216.38       0.0000      -54.950       38928.       2095.5       180.00       1.0000       102.00    
    11        921.26       289.17       1086.1       7476.9       8820.7       18974.       645.12       1902.5       3358.0       2515.0       2936.5       82.000      0.95400      0.96000      0.95400       200.86       301.89       1230.0       0.0000       992.39       272.60       282.96       0.0000      -6.0700       39116.       2111.1       180.00       1.0000       105.00    
    12        916.11       304.09       1057.7       7280.2       8628.0       18072.       619.70       1902.5       3358.0       2515.0       2936.5       82.000      0.95400      0.96000      0.95400       210.43       301.89       1050.0       0.0000       893.78       275.66       213.78       0.0000      -21.330       38897.       2092.9       180.00       1.0000       105.00    
    13        928.95       291.57       1152.4       5073.9       6810.6       16367.       543.19       1881.6       3110.0       2456.0       2783.0       78.000      0.95400      0.96800      0.95400       195.84       129.29       1260.0       0.0000       915.63       278.86       275.94       0.0000      -71.150       39167.       2115.4       180.00       1.0000       100.00    
    14        924.90       307.00       1125.4       3967.0       5810.3       14460.       523.50       1881.6       3110.0       2456.0       2783.0       78.000      0.95400      0.96800      0.95400       198.74       129.29       1050.0       0.0000       793.53       261.06       212.21       0.0000      -77.510       38986.       2100.4       180.00       1.0000       100.00    
    15        1026.8       349.39       1253.7       4914.5       6388.1       14386.       533.02       1906.2       3172.0       2534.5       2853.2       76.000      0.95400      0.94100      0.94100       185.06       34.900       1380.0       0.0000       926.00       314.81       263.46       0.0000      -79.370       39152.       2114.1       180.00       1.0000       99.000    
    16        1022.8       373.19       1220.4       4154.3       5627.2       12409.       509.92       1906.2       3172.0       2534.5       2853.2       76.000      0.95400      0.94100      0.94100       183.54       34.900       1170.0       0.0000       792.07       295.09       209.77       0.0000      -82.040       38939.       2096.4       180.00       1.0000       99.000    
    17        853.53       293.01       999.16       7377.6       8623.9       17560.       504.57       1905.8       3000.0       2472.0       2736.0       76.000      0.95400      0.98800      0.95400       191.69       874.90       840.00      -98.590       964.61       278.54       283.13       0.0000       0.0000       39252.       2122.5       180.00       1.0000       98.000    
    18        850.95       293.17       996.23       7432.5       8660.3       17348.       502.40       1905.8       3000.0       2472.0       2736.0       76.000      0.95400      0.98800      0.95400       200.56       874.90       720.00      -86.400       909.65       271.42       237.41       0.0000       0.0000       39128.       2112.1       180.00       1.0000       98.000    
    19        770.11       242.64       925.90       6055.2       7312.5       16179.       509.10       1894.2       3035.0       2483.0       2759.0       77.000      0.95400      0.97600      0.95400       192.35       325.70       870.00       0.0000       791.54       216.79       271.82       0.0000      -74.460       39176.       2116.1       180.00       1.0000       99.000    
    20        768.92       244.52       923.81       5077.3       6446.4       14870.       503.43       1894.2       3035.0       2483.0       2759.0       77.000      0.95400      0.97600      0.95400       198.32       325.70       720.00       0.0000       699.37       211.16       229.83       0.0000      -84.670       39056.       2106.2       180.00       1.0000       99.000    
    21        946.18       320.82       1125.9       6124.8       7364.1       16112.       532.49       1898.6       3132.0       2547.0       2839.5       76.000      0.95400      0.95600      0.95400       195.19       194.00       1260.0       0.0000       938.53       304.81       261.70       0.0000      -41.050       39152.       2114.2       180.00       1.0000       99.000    
    22        942.23       326.46       1109.9       5153.5       6498.0       14812.       524.43       1898.6       3132.0       2547.0       2839.5       76.000      0.95400      0.95600      0.95400       204.17       194.00       1080.0       0.0000       844.42       287.57       199.10       0.0000      -47.090       38960.       2098.1       180.00       1.0000       99.000    
    23        937.97       313.56       1109.3       5493.0       7195.2       16355.       589.28       1903.2       3250.0       2486.5       2868.2       79.000      0.95400      0.95900      0.95400       188.70       69.500       1290.0       0.0000       877.50       280.21       273.89       0.0000      -62.120       39144.       2113.5       180.00       1.0000       102.00    
    24        934.07       338.84       1064.2       4627.5       6360.3       14221.       558.15       1903.2       3250.0       2486.5       2868.2       79.000      0.95400      0.95900      0.95400       188.64       69.500       1080.0       0.0000       749.08       265.96       212.11       0.0000      -67.650       38955.       2097.7       180.00       1.0000       102.00    
    25        871.51       277.30       1052.0       4354.7       6200.7       15615.       541.62       1896.2       3136.0       2506.0       2821.0       81.000      0.95400      0.93400      0.93400       185.30       95.190       1170.0       0.0000       809.44       257.72       276.15       0.0000      -68.130       39148.       2113.8       180.00       1.0000       103.00    
    26        866.77       284.76       1032.8       3470.5       5416.3       14221.       527.40       1896.2       3136.0       2506.0       2821.0       81.000      0.95400      0.93400      0.93400       192.15       95.190       990.00       0.0000       722.87       232.81       213.16       0.0000      -73.650       38977.       2099.6       180.00       1.0000       103.00    
