*     Water balance PADDY used
*     Crop and soil nitrogen balance used
*     ****************************************************************
*     WARNING: Combined water and nitrogen limitations not validated!!
*     ****************************************************************
*     ORYZA model runs to simulate an experiment
*     Rice crop is direct-seeded
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* ORYYZA200 driver info:
*     Year: 2009, day:   1, System start
*     Year: 2009, day: 105, System end
*----------------------------------------------------------------------------
* OUTPUT FROM RERUN SET:    1
* OUTPUT TABLE FORMAT  : SPREADSHEET OUTPUT
* Simulation results
* Rainfed; no irrigation; SWITIR=0
* Irrigation at minimum water depth; SWITIR=2
* PADDY: Non-puddled soil (SWITPD=0)
* PADDY: Groundwater below profile (SWITGW=0)
* PADDY: Fixed percolation (SWITVP=-1)
 
TIME	IR	EVSW	N2O	CO2RELEASED	RAIN
 
   1.00000    	  0.0000    	  5.3753    	 2.39828E-02	  2.3561    	  2.1000    
   2.00000    	  0.0000    	  8.5180    	 2.59820E-02	  2.7962    	  1.0000    
   3.00000    	  0.0000    	  7.0270    	 1.31038E-02	  5.9192    	  2.5000    
   4.00000    	  0.0000    	  2.6000    	 6.28981E-03	  7.3190    	 0.90000    
   5.00000    	  0.0000    	  1.5888    	 3.53913E-03	  8.1274    	  0.0000    
   6.00000    	  0.0000    	  1.3208    	 9.49293E-04	  8.6590    	  0.0000    
   7.00000    	  0.0000    	  1.6340    	 6.83708E-04	  8.7133    	 0.60000    
   8.00000    	  30.000    	  10.095    	 3.95319E-04	  8.4026    	  0.0000    
   9.00000    	  30.000    	  14.484    	 1.00285E-02	  8.1934    	  0.0000    
   10.0000    	  30.000    	  13.632    	 3.36384E-02	  3.0185    	  0.0000    
   11.0000    	  30.000    	  13.555    	 2.91902E-02	  2.9276    	  0.0000    
   12.0000    	  0.0000    	  11.748    	 2.80253E-02	  2.9495    	  0.0000    
   13.0000    	  30.000    	  14.918    	 2.73143E-02	  3.0472    	  0.0000    
   14.0000    	  0.0000    	  14.152    	 2.61691E-02	  3.0048    	  0.0000    
   15.0000    	  30.000    	  12.931    	 2.49719E-02	  2.9694    	  0.0000    
   16.0000    	  0.0000    	  9.8470    	 2.41862E-02	  3.0351    	  0.0000    
   17.0000    	  30.000    	  8.8866    	 2.37781E-02	  3.1904    	  0.0000    
   18.0000    	  0.0000    	  7.6406    	 2.33922E-02	  3.3265    	  0.0000    
   19.0000    	  30.000    	  7.5470    	 2.27424E-02	  3.3964    	  0.0000    
   20.0000    	  0.0000    	  7.7013    	 2.24215E-02	  3.5701    	  0.0000    
   21.0000    	  0.0000    	  7.3795    	 2.19043E-02	  3.6522    	  0.0000    
   22.0000    	  30.000    	  6.8833    	 2.09722E-02	  3.6443    	  0.0000    
   23.0000    	  0.0000    	  6.1211    	 2.01872E-02	  3.6297    	 0.50000    
   24.0000    	  0.0000    	  7.1393    	 1.91552E-02	  3.5516    	  6.6000    
   25.0000    	  30.000    	  7.0495    	 1.84401E-02	  3.5644    	  0.0000    
   26.0000    	  0.0000    	  7.0258    	 1.78303E-02	  3.6115    	  0.0000    
   27.0000    	  0.0000    	  7.7767    	 1.74056E-02	  3.6954    	  0.0000    
   28.0000    	  30.000    	  6.7723    	 1.68201E-02	  3.6997    	  0.0000    
   29.0000    	  0.0000    	  6.8736    	 1.62593E-02	  3.7156    	  0.0000    
   30.0000    	  30.000    	  5.6726    	 1.56790E-02	  3.7165    	  0.0000    
   31.0000    	  0.0000    	  6.4097    	 1.50430E-02	  3.6958    	  0.0000    
   32.0000    	  0.0000    	  6.8430    	 1.45454E-02	  3.7410    	  0.0000    
   33.0000    	  30.000    	  6.6060    	 1.40287E-02	  3.7511    	  0.0000    
   34.0000    	  30.000    	  4.4166    	 1.33514E-02	  3.6894    	 0.10000    
   35.0000    	  0.0000    	  4.2133    	 1.26706E-02	  3.6351    	 0.80000    
   36.0000    	  0.0000    	  3.9916    	 1.19631E-02	  3.5797    	  2.9000    
   37.0000    	  30.000    	  4.4714    	 1.12890E-02	  3.5778    	 0.10000    
   38.0000    	  0.0000    	  3.5407    	 1.05105E-02	  3.5150    	  0.0000    
   39.0000    	  30.000    	  2.7703    	 9.68388E-03	  3.5064    	  0.0000    
   40.0000    	  30.000    	  2.2967    	 8.80495E-03	  3.5425    	  0.0000    
   41.0000    	  0.0000    	  1.8222    	 8.10123E-03	  3.5358    	  1.7000    
   42.0000    	  30.000    	  1.1946    	 7.48542E-03	  3.4748    	  17.100    
   43.0000    	  0.0000    	 0.71323    	 6.76881E-03	  3.3676    	  2.5000    
   44.0000    	  0.0000    	 0.99521    	 6.17935E-03	  3.2859    	 0.50000    
   45.0000    	  0.0000    	  1.0204    	 3.58809E-03	  3.3924    	 0.20000    
